configuration,case_id,root,mach,density_ratio,reduced_frequency,inverse_reduced_frequency,velocity_mps,damping_g,frequency_Hz,eigenvalue_real,eigenvalue_imaginary,positive
coarse_edge_length_2p5_mm,64,5,0.2941,1,3.0279,0.33025776,128.8235,-2.6101686e-05,194.16244,-0.015921488,1219.9586,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,2.9472,0.3393061,132.3529,-2.6242261e-05,194.16232,-0.016007226,1219.9578,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,2.8706,0.34835471,135.8824,-2.6391349e-05,194.1622,-0.016098156,1219.9571,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,2.798,0.35740308,139.4118,-2.6548274e-05,194.16208,-0.016193867,1219.9563,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,2.7289,0.36645147,142.9412,-2.6712373e-05,194.16195,-0.016293953,1219.9555,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,2.6631,0.37549987,146.4706,-2.688298e-05,194.16182,-0.016398009,1219.9547,0
coarse_edge_length_2p5_mm,64,5,0.2941,1,2.6005,0.38454829,150,-2.7059439e-05,194.16169,-0.016505634,1219.9539,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,17.6843,0.056547446,30,-0.0093652195,264.07751,-7.7696106,1659.2479,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,15.8175,0.063220985,33.5294,-0.010061088,263.99013,-8.3441579,1658.6989,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,14.3063,0.069899188,37.0588,-0.010859549,263.90182,-9.0033478,1658.144,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,13.0578,0.076582523,40.5882,-0.011808902,263.81123,-9.7870696,1657.5749,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,12.0089,0.083271659,44.1176,-0.012925648,263.71681,-10.708781,1656.9816,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,11.1151,0.089967867,47.6471,-0.014164524,263.61627,-11.730704,1656.3499,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,10.3442,0.096672693,51.1765,-0.015328786,263.50565,-12.689589,1655.6548,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,9.6723,0.1033884,54.7059,-0.01627109,263.38164,-13.463315,1654.8757,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,9.0813,0.11011692,58.2353,-0.016913234,263.24214,-13.987237,1653.9991,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,8.8116,0.11348654,60,-0.017109261,263.16618,-14.145268,1653.5219,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,8.5572,0.11685998,61.7647,-0.017218881,263.08596,-14.231559,1653.0178,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,8.0894,0.12361911,65.2941,-0.017176925,262.91266,-14.18753,1651.929,0
coarse_edge_length_2p5_mm,64,6,0.2941,1,7.669,0.1303949,68.8235,-0.016783444,262.72373,-13.852567,1650.7419,0
