eta,y_m,t_m,t_mm,t_over_t1,a_m,t1_m,t2_m,s_m
0.26000000000000001,0.48647296289578867,0.0037809733102643918,3.7809733102643919,0.8679478450816408,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.28000000000000003,0.52389396004161859,0.0037367234276565924,3.7367234276565924,0.85778998701099773,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.29999999999999999,0.56131495718744839,0.0036924735450487934,3.6924735450487933,0.84763212894035478,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.32000000000000001,0.59873595433327842,0.0036482236624409943,3.6482236624409943,0.83747427086971182,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.34000000000000002,0.63615695147910833,0.0036039737798331949,3.6039737798331948,0.82731641279906876,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.35999999999999999,0.67357794862493814,0.0035597238972253954,3.5597238972253953,0.81715855472842569,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.38,0.71099894577076805,0.0035154740146175964,3.5154740146175962,0.80700069665778273,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.40000000000000002,0.74841994291659797,0.0034712241320097969,3.4712241320097967,0.79684283858713978,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.41999999999999998,0.78584094006242777,0.0034269742494019975,3.4269742494019977,0.78668498051649671,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.44,0.8232619372082578,0.0033827243667941985,3.3827243667941986,0.77652712244585376,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.46000000000000002,0.86068293435408771,0.0033384744841863986,3.3384744841863987,0.76636926437521058,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.47999999999999998,0.89810393149991752,0.0032942246015785995,3.2942246015785996,0.75621140630456762,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.5,0.93552492864574743,0.0032499747189708005,3.2499747189708006,0.74605354823392467,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.52000000000000002,0.97294592579157735,0.0032057248363630006,3.2057248363630007,0.7358956901632816,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.54000000000000004,1.0103669229374073,0.0031614749537552016,3.1614749537552016,0.72573783209263865,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.56000000000000005,1.0477879200832372,0.0031172250711474021,3.1172250711474021,0.71557997402199558,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.57999999999999996,1.0852089172290669,0.0030729751885396031,3.0729751885396031,0.70542211595135262,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.59999999999999998,1.1226299143748968,0.0030287253059318037,3.0287253059318036,0.69526425788070956,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.62,1.1600509115207267,0.0029844754233240046,2.9844754233240045,0.6851063998100666,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.64000000000000001,1.1974719086665568,0.0029402255407162052,2.940225540716205,0.67494854173942354,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.66000000000000003,1.2348929058123868,0.0028959756581084057,2.8959756581084055,0.66479068366878047,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.68000000000000005,1.2723139029582167,0.0028517257755006067,2.8517257755006069,0.65463282559813751,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.69999999999999996,1.3097349001040464,0.0028074758928928072,2.8074758928928074,0.64447496752749456,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.71999999999999997,1.3471558972498763,0.0027632260102850078,2.7632260102850079,0.63431710945685149,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
0.73999999999999999,1.3845768943957062,0.0027189761276772088,2.7189761276772089,0.62415925138620854,0.0227337878346443,0.0043562217841657831,0.0021437276537758176,1.8710498572914949
