case,rank_descending,element_id,x_m,span_y_mm,z_m,shell_von_mises_stress_mpa,is_critical_element,stress_limit_mpa
8,9,27897,0.26672431826666665,0.58187617103333322,0.043190709003333327,198.41640000000001,0,220
8,10,27925,0.18278941016666664,0.6178098750333334,-0.025789288183333332,197.76089999999999,0,220
8,11,27775,0.21401000520000002,0.67977157106666664,-0.027017125860000001,194.88460000000001,0,220
8,12,40684,0.26961644489999997,0.79069030456666667,0.043274946510000002,194.7174,0,220
8,13,15190,0.19485365349999997,0.61535434603333328,0.039482172576666669,194.2809,0,220
8,14,43607,0.26777767143333336,0.65064676646666664,0.043222381423333338,193.2253,0,220
8,15,41029,0.17766457796666668,0.68858401693333338,0.038156123209999997,192.5093,0,220
8,16,40644,0.21497284866666666,0.70879183476666663,0.04081974054666667,192.15020000000001,0,220
8,17,27776,0.21377590300000002,0.65165581566666675,-0.027009220796666667,192.13550000000001,0,220
8,18,43659,0.26895993946666669,0.75953688536666675,0.043256250520000004,191.2851,0,220
8,19,40457,0.21362433336666664,0.71394330976666676,0.040740342190000001,188.33449999999999,0,220
8,20,27809,0.21455291903333332,0.58426512983333334,-0.027036668109999999,187.1123,0,220
8,21,27917,0.23639293016666665,0.57668149626666665,0.041974289963333335,186.1285,0,220
8,22,27895,0.26652654013333327,0.49703430459999998,0.043185826386666661,186.04400000000001,0,220
8,23,27919,0.23660813273333334,0.71061461736666665,0.041983502606666667,185.7551,0,220
8,24,27831,0.21269212166666665,0.60915308616666664,-0.026972190166666663,185.4855,0,220
8,25,40620,0.2709610263333333,0.57472600016666675,0.04331454634666667,184.93709999999999,0,220
8,26,13881,0.26828659573333336,0.69940921580000004,0.043237129846666666,184.2877,0,220
8,27,27690,0.21291878323333335,0.71250224333333334,-0.026979262010000001,183.68000000000001,0,220
8,28,24213,0.26592533786666667,0.35421285286900006,0.043165372063333339,182.52189999999999,0,220
8,29,39901,0.19435957073333335,0.57142966153333341,0.039445477226666664,179.6019,0,220
8,30,13879,0.26802158356666667,0.58539777333333332,0.043230375896666666,179.52209999999999,0,220
8,31,42544,0.18071788050000001,0.76927345550000004,-0.02569381644,177.84809999999999,0,220
8,32,40655,0.18153673410000001,0.68186992816666669,-0.025732591746666669,177.40639999999999,0,220
8,33,43637,0.23778551816666668,0.65101421206666676,0.042040384066666665,177.00200000000001,0,220
8,34,40854,0.21334922313333335,0.59881977116666663,-0.026995006329999998,176.90639999999999,0,220
8,35,40902,0.37306243180000004,0.69409155793333333,0.043237519759999989,176.26070000000001,0,220
8,36,27631,0.21310622493333334,0.55183338313333341,-0.026987086983333335,175.0044,0,220
8,37,27926,0.18206756313333336,0.6798606676333333,-0.0257562759,174.56549999999999,0,220
8,38,39983,0.21221451459999999,0.56451718170000009,0.040645370880000004,174.03229999999999,0,220
8,39,40615,0.23713242513333332,0.66943694643333329,0.0420096914,173.87350000000001,0,220
8,40,40885,0.37181832393333331,0.69597078256666667,0.043282377223333335,173.49639999999999,0,220
8,41,27898,0.26671181123333337,1.1287921807000001,0.04318455730666667,173.1071,0,220
8,42,43079,0.23615763583333335,1.1065765479999998,0.041957539816666667,171.67679999999999,0,220
8,43,40202,0.37118249136666664,0.6572942947999999,0.043305916093333334,171.15360000000001,0,220
8,44,36621,0.37334705393333328,0.65400103146666677,0.043227837729999996,171.13829999999999,0,220
8,45,43636,0.2365582635,1.0389263820666665,0.041977946956666672,170.15809999999999,0,220
8,46,39900,0.19462823866666668,0.5277935997333334,0.039466520149999997,169.95650000000001,0,220
8,47,43658,0.26793912056666669,1.2992994355666665,0.043220516290000004,169.73949999999999,0,220
8,48,42891,0.26580245293333332,1.0485991368666665,0.043158228200000003,169.642,0,220
8,49,14152,0.21474677816666668,0.46850898066666663,-0.027044228586666667,169.47300000000001,0,220
8,50,40455,0.21339312196666663,0.57520823126666676,0.040727594246666665,168.0592,0,220
27,1,39934,0.23548666633333334,0.6885550295666667,0.041926010203333336,225.1841,1,220
27,2,39747,0.26619972786666668,0.61114693139999998,0.043174810706666657,218.3998,0,220
27,3,27808,0.21519030629999999,0.63286460743333328,-0.02705830087333333,216.06319999999999,0,220
27,4,42431,0.25874704123333331,0.79918526646666677,-0.028133368116666668,210.88919999999999,0,220
27,5,40646,0.23853679496666666,0.62958749673333347,0.042073609930000005,209.13650000000001,0,220
27,6,40684,0.26961644489999997,0.79069030456666667,0.043274946510000002,196.69929999999999,0,220
27,7,39936,0.23575946686666668,0.7261678111333334,0.041940701506666671,196.05539999999999,0,220
27,8,39875,0.23619885246666669,0.6400476074,0.041963871569999998,195.56909999999999,0,220
27,9,27897,0.26672431826666665,0.58187617103333322,0.043190709003333327,193.77010000000001,0,220
27,10,43659,0.26895993946666669,0.75953688536666675,0.043256250520000004,192.27869999999999,0,220
27,11,43607,0.26777767143333336,0.65064676646666664,0.043222381423333338,191.8338,0,220
27,12,27925,0.18278941016666664,0.6178098750333334,-0.025789288183333332,191.25409999999999,0,220
27,13,40620,0.2709610263333333,0.57472600016666675,0.04331454634666667,187.3297,0,220
27,14,40157,0.27770328523333337,0.54880257809999999,-0.028341422476666666,184.69390000000001,0,220
27,15,13881,0.26828659573333336,0.69940921580000004,0.043237129846666666,184.2261,0,220
27,16,40644,0.21497284866666666,0.70879183476666663,0.04081974054666667,181.7277,0,220
27,17,27919,0.23660813273333334,0.71061461736666665,0.041983502606666667,181.2321,0,220
27,18,27917,0.23639293016666665,0.57668149626666665,0.041974289963333335,181.0119,0,220
27,19,27895,0.26652654013333327,0.49703430459999998,0.043185826386666661,180.483,0,220
27,20,27691,0.21245220799999998,0.66667709809999998,-0.026963006083333334,179.83969999999999,0,220
27,21,41029,0.17766457796666668,0.68858401693333338,0.038156123209999997,179.8082,0,220
27,22,37305,0.26027236380000002,0.67546974360000001,-0.028157533453333331,179.09999999999999,0,220
27,23,13879,0.26802158356666667,0.58539777333333332,0.043230375896666666,179.0667,0,220
27,24,40457,0.21362433336666664,0.71394330976666676,0.040740342190000001,179.0617,0,220
27,25,40563,0.19617325563333332,0.69522524910000005,0.03957743322,178.22239999999999,0,220
27,26,24213,0.26592533786666667,0.35421285286900006,0.043165372063333339,175.46809999999999,0,220
27,27,43637,0.23778551816666668,0.65101421206666676,0.042040384066666665,175.02250000000001,0,220
27,28,15190,0.19485365349999997,0.61535434603333328,0.039482172576666669,173.52010000000001,0,220
27,29,40615,0.23713242513333332,0.66943694643333329,0.0420096914,170.6437,0,220
27,30,40019,0.27712626256666667,0.57649585260000002,-0.028337848063333334,170.61420000000001,0,220
27,31,27885,0.27031564710000006,0.6360644668333334,0.043296280006666667,169.89959999999999,0,220
27,32,40655,0.18153673410000001,0.68186992816666669,-0.025732591746666669,168.72219999999999,0,220
27,33,42544,0.18071788050000001,0.76927345550000004,-0.02569381644,168.3408,0,220
27,34,27775,0.21401000520000002,0.67977157106666664,-0.027017125860000001,168.05799999999999,0,220
27,35,40202,0.37118249136666664,0.6572942947999999,0.043305916093333334,167.9836,0,220
27,36,40885,0.37181832393333331,0.69597078256666667,0.043282377223333335,167.92779999999999,0,220
27,37,27898,0.26671181123333337,1.1287921807000001,0.04318455730666667,167.9204,0,220
27,38,43658,0.26793912056666669,1.2992994355666665,0.043220516290000004,167.6294,0,220
27,39,40902,0.37306243180000004,0.69409155793333333,0.043237519759999989,167.39590000000001,0,220
27,40,39983,0.21221451459999999,0.56451718170000009,0.040645370880000004,167.28440000000001,0,220
27,41,43643,0.2700750033,0.54066159643333334,0.043290160596666662,167.1455,0,220
27,42,27926,0.18206756313333336,0.6798606676333333,-0.0257562759,166.98349999999999,0,220
27,43,40645,0.1577495287,0.65647085039999997,-0.02451879283,166.65190000000001,0,220
27,44,43079,0.23615763583333335,1.1065765479999998,0.041957539816666667,166.00190000000001,0,220
