example,entity,state,role,element_id,grid_id,vertex_index,x_m,y_m,z_m,classification,evidence_kind,receiving_for,selected_pair,projection_distance_m,coordinate_correction_m,ordinary_tolerance_m,snap_tolerance_m,weight_1,weight_2,weight_3,original_length_m,proposal_length_m,length_ratio,fractional_length_change,metric,value,text
single_B_A_ordinary_C_beyond,beam_endpoint,original,,859124,514223,1,0.2790154815,0.9931557178,0.03254768997,,retained,,1,,,1e-05,0.0030639880082520532,,,,0.0023988483439508113,0.0016911906664772319,0.7050010771801879,0.2949989228198121,,,
single_B_A_ordinary_C_beyond,beam_endpoint,original,,859124,514215,2,0.2790014148,0.9948271513,0.03082705475,,retained,,1,,,1e-05,0.0030639880082520532,,,,0.0023988483439508113,0.0016911906664772319,0.7050010771801879,0.2949989228198121,,,
single_B_A_ordinary_C_beyond,beam_endpoint,final,,859124,514223,1,0.2790154815,0.9931557178,0.03254768997,,retained,,1,,,1e-05,0.0030639880082520532,,,,0.0023988483439508113,0.0016911906664772319,0.7050010771801879,0.2949989228198121,,,
single_B_A_ordinary_C_beyond,beam_endpoint,final,,859124,514215,2,0.2790026045,0.994846746,0.03252810434,,retained,,1,,,1e-05,0.0030639880082520532,,,,0.0023988483439508113,0.0016911906664772319,0.7050010771801879,0.2949989228198121,,,
single_B_A_ordinary_C_beyond,beam_endpoint,all_proposals,,859124,514223,1,0.2790154815,0.9931557178,0.03254768997,,reconstructed,,1,,,1e-05,0.0030639880082520532,,,,0.0023988483439508113,0.0016911906664772319,0.7050010771801879,0.2949989228198121,,,
single_B_A_ordinary_C_beyond,beam_endpoint,all_proposals,,859124,514215,2,0.2790026045467738,0.9948467460249979,0.03252810434476642,,reconstructed,,1,,,1e-05,0.0030639880082520532,,,,0.0023988483439508113,0.0016911906664772319,0.7050010771801879,0.2949989228198121,,,
single_B_A_ordinary_C_beyond,beam_endpoint,original,,859146,514237,1,0.2790270448,0.9917862415,0.02425538376,,retained,,0,,,1e-05,0.0030639880082520532,,,,0.006763199314062725,0.006763199314062725,1.0,0.0,,,
single_B_A_ordinary_C_beyond,beam_endpoint,original,,859146,514210,2,0.2789873481,0.9964986444,0.02910641953,,retained,,0,,,1e-05,0.0030639880082520532,,,,0.006763199314062725,0.006763199314062725,1.0,0.0,,,
single_B_A_ordinary_C_beyond,beam_endpoint,final,,859146,514237,1,0.2790270448,0.9917862415,0.02425538376,,retained,,0,,,1e-05,0.0030639880082520532,,,,0.006763199314062725,0.006763199314062725,1.0,0.0,,,
single_B_A_ordinary_C_beyond,beam_endpoint,final,,859146,514210,2,0.2789873481,0.9964986444,0.02910641953,,retained,,0,,,1e-05,0.0030639880082520532,,,,0.006763199314062725,0.006763199314062725,1.0,0.0,,,
single_B_A_ordinary_C_beyond,beam_endpoint,all_proposals,,859146,514237,1,0.2790270448,0.9917862415,0.02425538376,,reconstructed,,0,,,1e-05,0.0030639880082520532,,,,0.006763199314062725,0.006763199314062725,1.0,0.0,,,
single_B_A_ordinary_C_beyond,beam_endpoint,all_proposals,,859146,514210,2,0.2789873481,0.9964986444,0.02910641953,,reconstructed,,0,,,1e-05,0.0030639880082520532,,,,0.006763199314062725,0.006763199314062725,1.0,0.0,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450326,225648,1,0.27771490812,0.99126160144,0.032570660114,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450326,225636,2,0.27528214454,0.98893362283,0.032598551362,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450326,225640,3,0.27885600924,0.98767763376,0.032611329108,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
