Study,Case,AspectRatio,TaperRatio,LLTTrimAoA_deg,RequiredCL,ExactTrimCL,CLResidual,InterpolatedCDi,ExactTrimCDi,CDiDifference,InterpolationOverestimate_pct,MaxCLGridReproductionError,MaxCDiGridReproductionError,Ctrim_Nm,OptimizerFeasible,TorsionIncluded,StoredPareto,ExactPareto
Multi-input,1,6,0.2,4.2735080897638,0.438329038414357,0.438329038414357,1.11022302462516e-16,0.0105378436035575,0.010391444515788,0.000146399087769452,1.40884251026913,0,0,10.9531417666014,1,1,1,1
Multi-input,2,6,0.2,4.28083238702898,0.438858180441234,0.438858180441234,-1.11022302462516e-16,0.0105664340682628,0.0104167917180533,0.000149642350209483,1.43654931633257,0,0,10.8077194529873,1,1,1,1
Multi-input,3,6,0.2,4.78519126896614,0.476606003356153,0.476606003356153,-2.22044604925031e-16,0.0125809896122393,0.0122861315183159,0.000294858093923447,2.39992623783882,0,0,9.76940214710758,1,1,0,0
Multi-input,4,6,0.2,4.91426825667544,0.48628756042943,0.48628756042943,0,0.013097431856977,0.0127906655180787,0.000306766338898359,2.39836104278364,0,0,9.3272810223876,1,1,1,1
Multi-input,5,6,0.8,4.34482009674687,0.437292051522198,0.437292051522198,-1.11022302462516e-16,0.0106875843534533,0.0105117628058278,0.000175821547625547,1.67261715159774,0,0,30.2506673067861,0,1,0,0
Multi-input,6,6,0.8,4.35077569366549,0.437760521183154,0.437760521183154,-5.55111512312578e-17,0.0107126209463902,0.010534448048261,0.000178172898129268,1.69133586603696,0,0,29.8765094175774,0,1,0,0
Multi-input,7,6,0.8,4.64675419278754,0.460022306322676,0.460022306322676,0,0.0119050614192452,0.0116357133920586,0.000269348027186617,2.31483896269263,0,0,26.9474169271223,1,1,0,0
Multi-input,8,6,0.8,4.77007874807023,0.469213859343815,0.469213859343815,0,0.0123970690793974,0.0121056221725979,0.000291446906799489,2.40753348026344,0,0,25.8840656708677,1,1,0,0
Multi-input,9,12,0.2,3.53042124145857,0.437355693469066,0.437355693469066,-1.11022302462516e-16,0.00539931178779691,0.00524982955761407,0.000149482230182842,2.8473730154923,0,0,79.8240488011263,0,1,0,0
Multi-input,10,12,0.2,3.53419448250663,0.437749218943769,0.437749218943769,-1.66533453693773e-16,0.00540769575178986,0.00525903176819899,0.000148663983590869,2.82683182272885,0,0,79.5125092235794,0,1,0,0
Multi-input,11,12,0.2,3.8421524349076,0.464583278219066,0.464583278219066,1.66533453693773e-16,0.00598117340937695,0.0059207798635943,6.0393545782654e-05,1.02002687439879,0,0,77.3272538872847,0,1,0,0
Multi-input,12,12,0.2,3.92825865958117,0.471944942180832,0.471944942180832,0,0.00613887306837368,0.00611014907589097,2.87239924827111e-05,0.470102973363585,0,0,74.5607891357604,0,1,0,0
Multi-input,13,12,0.8,3.58284740855337,0.436695709401776,0.436695709401776,-5.55111512312578e-17,0.00560289401233675,0.00545930874697733,0.000143585265359424,2.63009974365205,0,0,246.234664477194,0,1,0,0
Multi-input,14,12,0.8,3.5851967868599,0.437045214301101,0.437045214301101,5.55111512312578e-17,0.0056115564352737,0.00546858212807811,0.000142974307195595,2.61446758679004,0,0,245.244993678357,0,1,0,0
Multi-input,15,12,0.8,3.76676306814996,0.454679973953535,0.454679973953535,0,0.0060179252902495,0.00592773558065545,9.01897095940563e-05,1.52148671894848,0,0,235.277331949014,0,1,0,0
Multi-input,16,12,0.8,3.85188234217231,0.462073024970581,0.462073024970581,5.55111512312578e-17,0.00618343151733053,0.0061234019266717,6.00295906588322e-05,0.980330727554586,0,0,226.552510248876,0,1,0,0
Multi-input,17,10.4034424606333,0.223869741267448,3.81877689913525,0.451967438927466,0.451967438927466,0,0.00649192346984951,0.00641722858959055,7.46948802589622e-05,1.16397412397192,2.22044604925031e-16,1.38777878078145e-17,51.6545761368221,1,1,0,0
Multi-input,18,8.2322701288741,0.287900190134212,4.14805144525418,0.460435096668266,0.460435096668266,5.55111512312578e-17,0.00839811576318118,0.00832676040488173,7.1355358299453e-05,0.856940212397843,2.22044604925031e-16,6.93889390390723e-18,28.8701970309152,1,1,0,0
Multi-input,19,11.702297809981,0.598728696447524,3.58573006619692,0.439876945377504,0.439876945377504,5.55111512312578e-17,0.00563901199744712,0.00549708378090561,0.000141928216541512,2.58188199776955,0,0,161.314364863475,0,1,0,0
Multi-input,20,6.45194918476187,0.439719649267973,4.51908320322512,0.465258076077034,0.465258076077034,-5.55111512312578e-17,0.0110374709638721,0.0108089756003982,0.000228495363473928,2.11394096833294,0,0,18.3280449285028,1,1,0,0
Multi-input,21,8.11800072577512,0.698603634557141,4.11137707786082,0.451584177672257,0.451584177672257,0,0.00837173795226374,0.00831596515478826,5.57727974754806e-05,0.670671370518755,0,0,56.7817759509469,0,1,0,0
Multi-input,22,9.33172562503914,0.553176127046963,4.01342131941591,0.458902046489568,0.458902046489568,5.55111512312578e-17,0.00740067205762237,0.00739415259941047,6.51945821189288e-06,0.0881704579969402,0,0,72.0110258071845,0,1,0,0
Multi-input,23,11.1406833735304,0.719603002448294,3.63795256825153,0.438329494579722,0.438329494579721,-1.11022302462516e-16,0.00595375100122469,0.00582047149009252,0.000133279511132171,2.28984045981562,0,0,168.966677048995,0,1,0,0
Multi-input,24,7.198023832553,0.384802222815527,4.16283340214259,0.449298378083014,0.449298378083014,5.55111512312578e-17,0.00912075558974598,0.00903669423984843,8.406134989755e-05,0.930222354175391,0,0,24.2270721320226,1,1,0,0
Multi-input,25,10.0490423099991,0.370645763662115,3.88446661171111,0.455739281512792,0.455739281512792,-2.77555756156289e-16,0.00674791218164148,0.00669751400254779,5.03981790936836e-05,0.752490835771477,0,0,62.4847001287051,0,1,0,0
Multi-input,26,8.61850710412118,0.758448562282204,4.19929471649015,0.463157582432359,0.463157582432359,1.66533453693773e-16,0.0084174545600479,0.008324827345751,9.26272142968941e-05,1.11266228655386,0,0,76.4919182965922,0,1,0,0
Multi-input,27,6.08453052748098,0.508808289578874,4.25710107328249,0.438377054244617,0.438377054244617,-2.77555756156289e-16,0.0103344246146673,0.0101968879300785,0.000137536684588761,1.34881039717088,2.22044604925031e-16,6.93889390390723e-18,19.9624225396318,0,1,0,0
Multi-input,28,9.54355370933676,0.483955615400611,3.80998938877141,0.444548382271182,0.444548382271182,0,0.0068277571029933,0.0067451340984174,8.26230045759e-05,1.22492753102248,0,0,68.1777085398127,0,1,0,0
Multi-input,29,7.3875151590941,0.643415498457337,4.12679352462268,0.445157219245503,0.445157219245503,-1.66533453693773e-16,0.0088604802553774,0.00879441331207384,6.60669433035638e-05,0.751237643253138,0,0,40.0100911955149,0,1,0,0
Multi-input,30,11.1915732821967,0.285575835630773,3.85219203641593,0.461494204426721,0.461494204426721,0,0.00624487864221844,0.00618562526414754,5.92533780708945e-05,0.957920590733689,0,0,74.8644926918264,0,1,0,0
Multi-input,31,7.09940627989027,0.200034342332062,4.12298660474577,0.443605759300781,0.443605759300781,0,0.00909073854449973,0.00902517515413113,6.55633903686031e-05,0.726450060513148,2.22044604925031e-16,6.93889390390723e-18,16.2373414879715,1,1,1,1
