point,velocity_mps,four_point_reduced_frequency,four_point_frequency_Hz,four_point_damping_g,eighteen_point_reduced_frequency,eighteen_point_frequency_Hz,eighteen_point_damping_g
2,104.1176,0.87909999999999999,54.043309999999998,-0.017825557999999998,0.87739999999999996,53.943354999999997,-0.018460599000000001
2,107.64709999999999,0.85019999999999996,54.039876,-0.018492193000000001,0.84870000000000001,53.946522999999999,-0.019073181000000002
2,111.1765,0.82310000000000005,54.036661000000002,-0.019159169,0.82179999999999997,53.949702000000002,-0.019689813
2,114.7059,0.79779999999999995,54.033667000000001,-0.019826512000000001,0.79659999999999997,53.952894999999998,-0.020310199000000001
2,118.2353,0.77390000000000003,54.030892999999999,-0.020494228,0.77290000000000003,53.956102999999999,-0.020934063999999999
2,120,0.76249999999999996,54.029587999999997,-0.020828227000000001,0.76149999999999995,53.957712999999998,-0.021247222999999999
2,121.7647,0.75149999999999995,54.028339000000003,-0.021162321000000001,0.75049999999999994,53.959327999999999,-0.021561161999999998
2,125.2941,0.73029999999999995,54.026004,-0.021830800000000001,0.72940000000000005,53.962114999999997,-0.022191415999999999
2,128.8235,0.71020000000000005,54.023890000000002,-0.022499668,0.70950000000000002,53.965384999999998,-0.022824298999999999
2,132.35290000000001,0.69130000000000003,54.021994999999997,-0.023168933999999999,0.69059999999999999,53.968676000000002,-0.023459833999999999
2,135.88239999999999,0.67330000000000001,54.020321000000003,-0.023838621000000001,0.67269999999999996,53.971989999999998,-0.024097908000000001
2,139.4118,0.65620000000000001,54.018866000000003,-0.024508698999999998,0.65569999999999995,53.975329000000002,-0.024738390999999998
2,142.94120000000001,0.64000000000000001,54.017631000000002,-0.025179193999999998,0.63949999999999996,53.978693,-0.025381213999999999
2,146.47059999999999,0.62460000000000004,54.016615999999999,-0.025850110999999999,0.62419999999999998,53.982084,-0.026026292999999999
2,150,0.6099,54.015821000000003,-0.026521458000000001,0.60950000000000004,53.985500999999999,-0.026673552999999999
3,30,5.7588999999999997,102.01409,2.2834728999999999e-05,5.7588999999999997,102.01366,-8.5449944000000004e-06
3,33.529400000000003,5.1527000000000003,102.01407,2.1802912e-05,5.1527000000000003,102.01363000000001,-9.1085981000000006e-06
3,37.058799999999998,4.6619999999999999,102.01405,2.0771627999999999e-05,4.6619999999999999,102.0136,-9.6767892e-06
3,40.588200000000001,4.2565999999999997,102.01402,1.9740297e-05,4.2565999999999997,102.01357,-1.0210743e-05
3,44.117600000000003,3.9161000000000001,102.014,1.8708336e-05,3.9161000000000001,102.01354000000001,-1.0717152e-05
3,47.647100000000002,3.6259999999999999,102.01397,1.7675123999999999e-05,3.6259999999999999,102.01351,-1.1214578000000001e-05
3,51.176499999999997,3.3759000000000001,102.01394000000001,1.6640123999999999e-05,3.3759000000000001,102.01348,-1.1713380000000001e-05
3,54.7059,3.1581000000000001,102.01391,1.5602702000000001e-05,3.1581000000000001,102.01344,-1.2219047e-05
3,58.235300000000002,2.9666999999999999,102.01388,1.4562245000000001e-05,2.9666999999999999,102.01340999999999,-1.2734925000000001e-05
3,60,2.8795000000000002,102.01385999999999,1.4040684000000001e-05,2.8794,102.0134,-1.2997682e-05
3,61.764699999999998,2.7972000000000001,102.01385000000001,1.3518129e-05,2.7972000000000001,102.01338,-1.3264029e-05
3,65.2941,2.6459999999999999,102.01381000000001,1.2469723e-05,2.6459999999999999,102.01335,-1.3808224e-05
3,68.823499999999996,2.5103,102.01376999999999,1.1416379000000001e-05,2.5103,102.01331,-1.4368528e-05
3,72.352900000000005,2.3877999999999999,102.01374,1.035744e-05,2.3877999999999999,102.01327999999999,-1.4945452e-05
3,75.882400000000004,2.2768000000000002,102.0137,9.2922032000000003e-06,2.2768000000000002,102.01324,-1.5539221999999999e-05
3,79.411799999999999,2.1756000000000002,102.01365,8.2200415999999994e-06,2.1756000000000002,102.0132,-1.6149848e-05
3,82.941199999999995,2.0830000000000002,102.01361,7.1402207999999999e-06,2.0830000000000002,102.01317,-1.6777846999999999e-05
3,86.470600000000005,1.998,102.01356,6.0520189000000002e-06,1.998,102.01313,-1.7424503000000001e-05
3,90,1.9196,102.01352,4.9546945000000001e-06,1.9196,102.01308,-1.8090821e-05
3,93.529399999999995,1.8472,102.01347,3.8474856000000003e-06,1.8472,102.01304,-1.8777520999999998e-05
3,97.058800000000005,1.78,102.01342,2.7296078999999999e-06,1.78,102.01300000000001,-1.9485133000000001e-05
3,100.5882,1.7176,102.01336000000001,1.6002534000000001e-06,1.7176,102.01295,-2.0214072e-05
