a_m,t1_over_a,score_before_observed,score_before_cases_8_29_feasible,score_after_observed,score_after_cases_8_29_feasible
0.019,0.22500000000000003,0.50670647697137994,1,0.52398043591850851,1
0.019,0.22587499999999999,0.52777027293422452,1,0.54388718930352187,1
0.019,0.22675000000000001,0.54873516779304032,1,0.56373675492868747,1
0.019,0.22762500000000002,0.56957970563019034,1,0.58350895450718165,1
0.019,0.22850000000000004,0.59028167250589225,1,0.6031825757742344,1
0.019,0.229375,0.61081807959947909,1,0.62273534635126393,1
0.019,0.23025000000000001,0.63116515524007044,1,0.64214391775488011,1
0.019,0.23112500000000002,0.65129834729260594,1,0.66138386134338001,1
0.019,0.23200000000000004,0.67119233757652175,1,0.68042967826676337,1
0.019,0.232875,0.69082107020543382,1,0.69925482576148146,1
0.019,0.23375000000000001,0.71015779593131334,1,0.71783176238896651,1
0.019,0.23462500000000003,0.72917513473320761,1,0.73613201502943792,1
0.019,0.23550000000000004,0.74784515897774506,1,0.75412627057124215,1
0.019,0.236375,0.76613949945516835,1,0.7717844952298003,1
0.019,0.23725000000000002,0.78402947641038034,1,0.78907608422618236,1
0.019,0.23812500000000003,0.80148625728308764,1,0.80597004407805273,1
0.019,0.23900000000000005,0.81848104218170858,1,0.82243520892586375,1
0.019,0.239875,0.83498527708261672,1,0.83844049105927909,1
0.019,0.24075000000000002,0.85097089332758225,1,0.853955164069088,1
0.019,0.24162500000000003,0.86641057018267364,1,0.86894917481992495,1
0.019,0.24250000000000005,0.88127801507435122,1,0.88339347778271993,1
0.019,0.24337500000000001,0.89554825376408931,1,0.89726038234469618,1
0.019,0.24425000000000002,0.90919792038747327,1,0.91052390080821166,1
0.019,0.24512500000000004,0.92220553527595861,1,0.9231600822821483,1
0.019,0.24600000000000005,0.93455175716852357,1,0.93514731602026613,1
0.019,0.24687500000000001,0.94621959616593132,1,0.94646658741940248,1
0.019,0.24775000000000003,0.95719457485516823,1,0.95710167119838629,1
0.019,0.24862500000000004,0.96746482753307739,1,0.96703924935926955,1
0.019,0.2495,0.97702113124735301,1,0.97626894621547156,1
0.019,0.25037500000000001,0.98585686706948872,1,0.98478327858456871,1
0.019,0.25125000000000003,0.99396791505424598,1,0.99257752548630895,1
0.019,0.25212500000000004,1,1,0.99964952756994352,1
0.019,0.253,1,1,1,1
0.019,0.25387500000000002,1,1,1,1
0.019,0.25475000000000003,1,1,1,1
0.019,0.25562500000000005,1,1,1,1
0.019,0.25650000000000001,1,1,1,1
0.019,0.25737500000000002,1,1,1,1
0.019,0.25825000000000004,1,1,1,1
0.019,0.25912500000000005,1,1,1,1
0.019,0.26000000000000001,1,1,1,1
0.019,0.26087500000000002,1,1,1,1
0.019,0.26175000000000004,1,1,1,1
0.019,0.26262500000000005,1,1,1,1
0.019,0.26350000000000001,1,1,1,1
0.019,0.26437500000000003,1,1,1,1
0.019,0.26525000000000004,1,1,1,1
0.019,0.26612500000000006,1,1,1,1
0.019,0.26700000000000002,1,1,1,1
0.019,0.26787500000000003,1,1,1,1
0.019,0.26875000000000004,1,1,1,1
0.019,0.269625,1,1,0.99850558625919505,1
0.019,0.27050000000000002,0.99971717349401534,1,0.99215288408968616,1
0.019,0.27137500000000003,0.99314009777280821,1,0.98532018952185796,1
