node_order,node_id,x_m,y_m,z_m,ux_mode3,uy_mode3,uz_mode3,displacement_magnitude,mode_index,frequency_hz
368730,468730,0.18349729479999999,0.51278638840000001,0.02652104571,0.04040205106139183,0.019325621426105499,-0.0014513994101434946,0.044809730346435088,3,102.01404571533203
368731,468731,0.18349798019999999,1.7858077290000001,-0.0088401073589999997,0.40796074271202087,0.048257157206535339,-0.0086005125194787979,0.41089498613562769,3,102.01404571533203
368732,468732,0.18349798019999999,1.7858077290000001,0.0088404677810000002,0.40624412894248962,0.048138905316591263,-0.0086571825668215752,0.40917794822707287,3,102.01404571533203
368733,468733,0.18350313600000001,1.053829074,-0.0088401073589999997,0.15707188844680786,0.035278376191854477,-0.0046389773488044739,0.16105173727042865,3,102.01404571533203
368734,468734,0.18350313600000001,1.053829074,0.0088404677810000002,0.15612185001373291,0.035457633435726166,-0.0047371303662657738,0.16016777523796677,3,102.01404571533203
368735,468735,0.18338743669999999,1.0538434459999999,0.027988339470000002,0.15508246421813965,0.035674691200256348,-0.0048206718638539314,0.15920582017446211,3,102.01404571533203
368736,468736,0.1834125096,0.084983149620000004,0.037775642159999998,0.0017137384274974465,0.0034113929141312838,-0.00048976490506902337,0.0038489440986722349,3,102.01404571533203
368737,468737,0.18350851539999999,1.248362303,-0.0088401073589999997,0.21494811773300171,0.039841271936893463,-0.0067510451190173626,0.21871350410230472,3,102.01404571533203
368738,468738,0.18350851539999999,1.248362303,0.0088404677810000002,0.21379545331001282,0.040019411593675613,-0.00684336107224226,0.21761636140488833,3,102.01404571533203
368739,468739,0.18351438640000001,1.5241554980000001,0.023248575630000001,0.30636316537857056,0.045110225677490234,-0.0090820202603936195,0.30979962016352064,3,102.01404571533203
368740,468740,0.18351656199999999,0.88199913500000005,0.028096191579999999,0.11106161773204803,0.030959896743297577,-0.0032047717832028866,0.11534066369584331,3,102.01404571533203
368741,468741,0.18351662160000001,0.71488529440000004,-0.01326025277,0.076295234262943268,0.025734309107065201,-0.0018951459787786007,0.080540728918580398,3,102.01404571533203
368742,468742,0.18351662160000001,0.71488529440000004,-0.0044199624099999996,0.075987674295902252,0.02578260563313961,-0.0019478419562801719,0.080266203886945914,3,102.01404571533203
368743,468743,0.18351662160000001,0.71488529440000004,0.0044203251600000004,0.075682505965232849,0.025824468582868576,-0.0020037989597767591,0.07999225023110848,3,102.01404571533203
368744,468744,0.18351662160000001,0.71488529440000004,0.01326060947,0.075374975800514221,0.025863895192742348,-0.002062302315607667,0.079715626713400586,3,102.01404571533203
368745,468745,0.18351662160000001,0.71488529440000004,0.02210089937,0.075070448219776154,0.02590252086520195,-0.0021044113673269749,0.079441433334836359,3,102.01404571533203
368746,468746,0.18341240750000001,1.78857687,-0.01374153885,0.40952923893928528,0.048358343541622162,-0.0085892444476485252,0.41246394031049699,3,102.01404571533203
368747,468747,0.1834754361,1.045118698,-0.018767724100000001,0.15517137944698334,0.034961625933647156,-0.0044941045343875885,0.15912469721250047,3,102.01404571533203
