aspect_ratio_index,taper_ratio_index,aspect_ratio,taper_ratio,binary_feasibility_score,raw_score
56,161,7.375,0.60000000000000009,0.98163460507715072,0.98163460507715072
57,161,7.4000000000000004,0.60000000000000009,0.95800196148886652,0.95800196148886652
58,161,7.4249999999999998,0.60000000000000009,0.93424796231034801,0.93424796231034801
59,161,7.4500000000000002,0.60000000000000009,0.91043227017053119,0.91043227017053119
60,161,7.4749999999999996,0.60000000000000009,0.88660688987456027,0.88660688987456027
61,161,7.5,0.60000000000000009,0.86281646091164477,0.86281646091164477
62,161,7.5250000000000004,0.60000000000000009,0.8390986192566483,0.8390986192566483
63,161,7.5499999999999998,0.60000000000000009,0.81548440693453617,0.81548440693453617
64,161,7.5750000000000002,0.60000000000000009,0.79199871197470895,0.79199871197470895
65,161,7.5999999999999996,0.60000000000000009,0.76866072502768246,0.76866072502768246
66,161,7.625,0.60000000000000009,0.74548440203589839,0.74548440203589839
67,161,7.6500000000000004,0.60000000000000009,0.72247892497182975,0.72247892497182975
68,161,7.6749999999999998,0.60000000000000009,0.69964915482705314,0.69964915482705314
69,161,7.7000000000000002,0.60000000000000009,0.67699607281422025,0.67699607281422025
70,161,7.7249999999999996,0.60000000000000009,0.65451720718748252,0.65451720718748252
71,161,7.75,0.60000000000000009,0.63220704425127849,0.63220704425127849
72,161,7.7750000000000004,0.60000000000000009,0.6100574230616177,0.6100574230616177
73,161,7.7999999999999998,0.60000000000000009,0.58805791407067787,0.58805791407067787
74,161,7.8250000000000002,0.60000000000000009,0.56619618256149251,0.56619618256149251
75,161,7.8499999999999996,0.60000000000000009,0.54445833819479261,0.54445833819479261
76,161,7.875,0.60000000000000009,0.52282927237024968,0.52282927237024968
77,161,7.9000000000000004,0.60000000000000009,0.50129383858109222,0.50129383858109222
78,161,7.9249999999999998,0.60000000000000009,0.47984272990867621,0.47984272990867621
79,161,7.9500000000000002,0.60000000000000009,0.45845484701457445,0.45845484701457445
