Case,AR,TaperRatio,CDitrim,Feasible,Pareto,LLTTrimRequiredCL,TorsionCorrectedE,InterpolatedRigidE,LLTTrimCDiRigid,CDiTorsionDeltaPct,DirectRigidE,OptimumTaperAtSameAR,MaximumEAtSameAR,EfficiencyGap,AbsoluteTaperDistance,TaperOnlyCDiPenaltyPct
11,8.95222532526214,0.298846608964398,0.00715212917199392,1,0,0.442477652536841,0.97334422370378,0.975680908353002,0.00713500034401095,0.240067654619613,0.982730412358426,0.357,0.984201645957656,0.0014712335992304,0.058153391035602,0.149708768623502
12,8.6408175216767,0.225941674473364,0.00744961340176801,0,0,0.44307788282756,0.97078196987664,0.972201913863722,0.00743873291119801,0.14626806339042,0.97627412789823,0.358,0.984841789465258,0.00856766156702871,0.132058325526636,0.877587689993753
13,10.8384159534924,0.290505099399162,0.00597768652199274,0,0,0.441815853223474,0.959033476405706,0.961666262988539,0.00596132120537804,0.27452499288132,0.978475265729196,0.352,0.980437841795539,0.00196257606634254,0.061494900600838,0.200574928675379
14,12,0.219963899850845,0.00547521709867083,0,0,0.441881217318692,0.945972737992335,0.947201804227129,0.00546811258890944,0.129926179204976,0.967434359989736,0.35,0.978226234784985,0.0107918747952491,0.130036100149155,1.11551493740243
15,9.26184619828317,0.345563184742736,0.00691414823917738,1,0,0.442064811899518,0.971372421813392,0.974349096710086,0.0068930252437694,0.306440128404861,0.983521446439669,0.357,0.983570114440196,4.86680005271634e-05,0.011436815257264,0.00494834156421486
16,7.30609738875995,0.35967486972642,0.00868159181832629,1,0,0.44285321493352,0.984203513743229,0.981734320890227,0.00870342718051577,-0.25088234481202,0.987631626048286,0.362,0.987633428851247,1.80280296036006e-06,0.00232513027358,0.000182537994208865
17,7.59168377227489,0.31599977584327,0.00834722675749272,1,0,0.442998847256117,0.985768641384194,0.982740761852897,0.0083729450323656,-0.307159246519151,0.986300755447582,0.361,0.987030473099745,0.000729717652163675,0.04500022415673,0.0739853080445663
18,7.41182876120306,0.257661616488969,0.00861299337610312,1,1,0.443456704079039,0.98055754718287,0.977601284309478,0.00863903903802605,-0.301487952633228,0.983116482026511,0.362,0.987409895515718,0.00429341348920687,0.104338383511031,0.436714628195101
19,9.02673938819886,0.345159606409472,0.00708202175531368,1,0,0.442141381939038,0.973384206370827,0.976268109594507,0.00706110141061574,0.296275941689284,0.98399214663103,0.357,0.984049252737799,5.71061067692336e-05,0.011840393590528,0.00580351245329513
20,10.127528136742,0.208048738558721,0.00644157565853256,1,1,0.442552037411301,0.955615632883221,0.956784247454894,0.00643370792952351,0.122289185260405,0.969408362512544,0.354,0.981832318009288,0.0124239554967442,0.145951261441279,1.2816018488373
21,6.96496329257454,0.61889095565218,0.0092361157209644,1,0,0.441970669230265,0.966560020681013,0.965309875938869,0.00924807714578166,-0.129339587340238,0.97563084672657,0.363,0.988356618561923,0.0127257718353537,0.25589095565218,1.30436341553275
22,7.02771570596623,0.562900365385606,0.00910654707456363,1,0,0.442047897688262,0.971898394632364,0.970410126666751,0.00912051331617219,-0.153129995257983,0.97969219825731,0.363,0.988223375389895,0.00853117713258467,0.199900365385606,0.870801783229469
23,9.63016376500788,0.270639134496506,0.00669262103323749,1,0,0.442324375695447,0.966277722960702,0.968384569578681,0.00667806036546949,0.218037378686842,0.979329115078449,0.356,0.982825575152598,0.00349646007414905,0.085360865503494,0.357026051846621
24,6.91938987700087,0.673459676346615,0.00934071906584255,1,0,0.441766573373575,0.961142360128776,0.960091192296041,0.00935094586877066,-0.109366507641395,0.971234673570682,0.363,0.988453424153226,0.0172187505825443,0.310459676346615,1.77287230893854
25,6.44167072780609,0.626548905715014,0.0100215115538145,1,0,0.442106507969708,0.963767306868836,0.963031596178565,0.0100291675156875,-0.0763369627739041,0.977281224728666,0.365,0.98947030554701,0.0121890808183447,0.261548905715014,1.24724393653719
26,8.97526578653001,0.374669960132128,0.00711812431673343,1,0,0.442025587106524,0.973491266590138,0.976677758180372,0.00709490085015653,0.327326160962338,0.984043648945621,0.357,0.984154497362106,0.000110848416485232,0.017669960132128,0.011264583294035
27,8.38759548233562,0.267129262027628,0.00761916818785677,0,0,0.442906844463311,0.977079436315176,0.978936675674445,0.00760471309653676,0.190080692545602,0.981706069094381,0.359,0.985365765988057,0.00365969689367596,0.091870737972372,0.3727894742519
28,8.72429848273285,0.306596114958846,0.00732341533611664,1,1,0.442534269351648,0.975662834145111,0.978034261732148,0.0073056583414602,0.243058104095439,0.983577708088731,0.358,0.984669748901289,0.00109204081255887,0.051403885041154,0.111027405722819
29,8.37576415644839,0.43022589014228,0.00759541042548259,0,0,0.442002934718824,0.977517962774186,0.980888610722865,0.00756931015855099,0.344816983118479,0.983798338162018,0.359,0.985390319253169,0.00159198109115033,0.07122589014228,0.161819859761558
30,8.73128610331681,0.354351022400234,0.00730476763216352,1,0,0.442232077283363,0.976036332775571,0.978910607469368,0.00728331939308123,0.294484395434624,0.984650316502064,0.358,0.984655362170442,5.04566837766784e-06,0.00364897759976601,0.000512432514687688
31,9.04599138574513,0.281014887789985,0.00709134354545484,1,1,0.442523034303793,0.971711170058017,0.973857162360683,0.00707571705601442,0.220846725734125,0.981403893289638,0.357,0.984009920808495,0.00260602751885752,0.075985112210015,0.265540776501516
32,8.53643282364385,0.332830846492949,0.00746298246966837,1,1,0.442396220003682,0.977876690089946,0.980457247573501,0.00744333994541818,0.263893956130312,0.984803512868605,0.359,0.985057367009891,0.000253854141286314,0.026169153507051,0.0257771360448134
33,6.64655931597592,0.586609478967796,0.00967443212972251,1,0,0.442193059697416,0.967947057969984,0.966931511309834,0.00968459297061275,-0.104917583228092,0.97939682166754,0.364,0.989033825328996,0.0096370036614557,0.222609478967796,0.983973344435363
34,6.73511043709973,0.644445825533102,0.00958308803931894,1,0,0.44194618170528,0.963249295583404,0.962301401238761,0.00959252765454239,-0.0984059213942845,0.974562224422602,0.364,0.988845306235485,0.0142830818128824,0.280445825533102,1.46558951854969
35,8.97396023879836,0.287424325474311,0.00714087935521433,1,1,0.442508985217065,0.972654225148748,0.974868752640493,0.00712465801915804,0.227678802444475,0.982003895235349,0.357,0.984157168307675,0.00215327307232605,0.069575674525689,0.219273373840334
36,9.39332204360386,0.271309002940798,0.00685128821460015,1,0,0.442440448532256,0.968207239470162,0.970298826489911,0.00683651950097606,0.216026789976698,0.979886860215429,0.356,0.983303537597219,0.00341667738179041,0.084690997059202,0.348680803928647
37,8.34480495872869,0.35179651929685,0.00762014491373295,0,0,0.442432665471552,0.979862358568314,0.982557784558569,0.00759924076237129,0.275082103796009,0.985435333803412,0.359,0.985454594242602,1.92604391892059e-05,0.00720348070314997,0.00195451071507424
38,9.49044385433887,0.245073327781906,0.00680630560929109,1,1,0.442598342848304,0.965320934682295,0.967052459352721,0.00679411879774538,0.179372953410084,0.976880014650088,0.356,0.983107202786683,0.00622718813659529,0.110926672218094,0.63745680566778
39,9.57792006398733,0.262213284572663,0.00673382765855486,1,0,0.442439640623145,0.966106454921257,0.968095328621335,0.00671999355324002,0.205864859917537,0.978634802582088,0.356,0.982930766485628,0.0042959639035397,0.093786715427337,0.438975181774137
40,9.68468182261068,0.242726471278162,0.00667956677742375,1,1,0.442509582301771,0.963522439281919,0.965240122101093,0.00666768022522767,0.17827117969913,0.976139309545416,0.355,0.982715990894851,0.0065766813494349,0.112273528721838,0.673744135199073
