group,case,period,a_m,t1_over_a,mass_kg,compliance_nm,label_constraint,label_feasible,pareto_optimal,skin_max_mpa,lattice_max_mpa,skin_margin_mpa,lattice_margin_mpa,stress_state,active_failures,plot_category,simulation_ok,trim_ok,stress_ok,compliance_ok,flutter_ok,max_flutter_damping,light_output_available
BCC,42,initial,0.0278259074091911,0.05,34.5077662075554,52.2572728358825,1.0,0,0,247.1403,241.3497,-27.140299999999996,-21.349700000000013,skin_and_lattice_stress,not_available,skin_and_lattice_stress,,,,,,nan,1
BCC,43,initial,0.01376953125,0.05,34.5085685310374,52.0257989656428,1.0,0,0,242.2571,311.3752,-22.25710000000001,-91.3752,skin_and_lattice_stress,not_available,skin_and_lattice_stress,,,,,,nan,1
BCC,44,initial,0.03,0.0849542671115256,37.6537652220882,50.8800559837066,1.0,0,0,232.9177,136.868,-12.917699999999996,83.132,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
BCC,45,initial,0.0155,0.16375,46.9927019554093,49.7334868225577,-1.0,1,1,207.8802,119.6479,12.119799999999998,100.3521,stress_within_limit,not_available,feasible,,,,,,nan,1
BCC,46,initial,0.01475,0.150625,45.2711631364644,49.8587353733633,-1.0,1,1,216.9651,115.3586,3.0348999999999933,104.6414,stress_within_limit,not_available,feasible,,,,,,nan,1
BCC,47,initial,0.0150146228075027,0.242840216606855,56.7490289415464,49.1450135767575,-1.0,1,1,201.1818,108.4492,18.81819999999999,111.5508,stress_within_limit,not_available,feasible,,,,,,nan,1
BCC,48,initial,0.0151519775390625,0.2280078125,54.9172892929755,49.2607230868237,-1.0,1,1,199.0157,128.1755,20.98429999999999,91.8245,stress_within_limit,not_available,feasible,,,,,,nan,1
BCC,49,initial,0.01525,0.21625,53.5918610380488,49.3388917912626,-1.0,1,1,193.937,122.495,26.062999999999988,97.505,stress_within_limit,not_available,feasible,,,,,,nan,1
BCC,50,initial,0.0180615620613098,0.247726488113403,57.4762396760958,49.2515959020505,-1.0,1,0,212.8346,90.42213,7.165400000000005,129.57787000000002,stress_within_limit,not_available,feasible,,,,,,nan,1
BCC,51,initial,0.0172401089072227,0.234869783222675,55.9247083011083,49.3291447057848,1.0,0,0,221.6461,90.57595,-1.64609999999999,129.42405,skin_stress_only,not_available,skin_stress_only,,,,,,nan,1
BCC,52,continuation,0.0168006814143651,0.29016119453189,62.7954343479483,48.9948317277969,-1.0,1,0,204.146,87.82378,15.854000000000013,132.17622,stress_within_limit,none,feasible,True,True,True,True,True,-1.0381292e-06,1
BCC,53,continuation,0.0298944146330924,0.216234272752549,53.4297448479172,49.4573626709694,1.0,0,0,224.3425,83.67207,-4.342500000000001,136.32792999999998,skin_stress_only,stress,skin_stress_only,True,True,False,True,True,-6.3865064e-07,1
BCC,54,continuation,0.0195227527343856,0.345804453136632,68.6985689959999,48.5175818071967,1.0,0,0,224.6625,93.28656,-4.662499999999994,126.71344,skin_stress_only,stress,skin_stress_only,True,True,False,True,True,-4.7934414e-07,1
BCC,55,continuation,0.0229986971560317,0.294936059077526,62.8418300770157,48.7695597846373,-1.0,1,1,214.5859,100.1383,5.414099999999991,119.8617,stress_within_limit,none,feasible,True,True,True,True,True,-1.230815e-06,1
BCC,56,continuation,0.0225953820998209,0.324987181338706,66.2262183247861,48.5905640127118,-1.0,1,0,219.939,91.02061,0.06100000000000705,128.97939,stress_within_limit,none,feasible,True,True,True,True,True,-1.3804037e-06,1
BCC,57,continuation,0.011171057382354,0.279885693057488,61.5747483545825,49.0287477592492,1.0,0,0,226.7186,106.5614,-6.718600000000009,113.4386,skin_stress_only,stress,skin_stress_only,True,True,False,True,True,-1.3667507e-06,1
BCC,58,continuation,0.0213857749398819,0.329870569633729,66.854860537902,48.5071039699029,-1.0,1,1,212.8132,94.83742,7.186800000000005,125.16258,stress_within_limit,none,feasible,True,True,True,True,True,-1.2755878e-06,1
BCC,59,continuation,0.015886655368859,0.190810008021898,50.405259180194,49.5198711552005,-1.0,1,1,195.0539,126.4248,24.9461,93.5752,stress_within_limit,none,feasible,True,True,True,True,True,-3.9352944e-07,1
BCC,60,continuation,0.0140036660564601,0.136487358880234,43.5961541930007,50.0292904945481,1.0,0,0,220.9175,110.6593,-0.9174999999999898,109.3407,skin_stress_only,stress,skin_stress_only,True,True,False,True,True,-5.7961288e-07,1
BCC,61,continuation,0.0237360245313795,0.255046759976275,58.1871957613824,48.9796952467414,1.0,0,0,222.8187,96.90495,-2.818700000000007,123.09505,skin_stress_only,stress,skin_stress_only,True,True,False,True,True,-1.1465832e-06,1
BCC,62,continuation,0.0109819384876402,0.132404347024418,43.0960326420055,50.1069234264487,-1.0,1,1,218.0961,205.012,1.903899999999993,14.988,stress_within_limit,none,feasible,True,True,True,True,True,-4.9774187e-07,1
BCC,63,continuation,0.0216864206202996,0.307567099162573,64.3762542668052,48.5835564763988,-1.0,1,1,218.839,93.93639,1.1610000000000014,126.06361,stress_within_limit,none,feasible,True,True,True,True,True,-1.2905038e-06,1
BCC,64,continuation,0.0208978099675173,0.322950975718455,66.1812236007926,48.4574165968437,1.0,0,0,238.4347,94.80914,-18.434699999999992,125.19086,skin_stress_only,stress,skin_stress_only,True,True,False,True,True,-1.2378866e-06,1
BCC,65,continuation,0.01,0.4,75.0334513084686,48.8284525174043,-1.0,1,0,202.7849,107.7538,17.215100000000007,112.2462,stress_within_limit,none,feasible,True,True,True,True,True,-1.6178669e-06,1
BCC,66,continuation,0.0161381406184774,0.198501883071491,51.2887547457874,49.4616919730876,-1.0,1,1,211.7474,112.6714,8.252600000000001,107.3286,stress_within_limit,none,feasible,True,True,True,True,True,-6.0285739e-07,1
BCC,67,continuation,0.0105175627148075,0.33126047024823,67.6107753415626,48.834110896102,1.0,0,0,226.1121,107.994,-6.112099999999998,112.006,skin_stress_only,stress,skin_stress_only,True,True,False,True,True,-1.500631e-06,1
BCC,68,continuation,0.0158839730787204,0.142445791366047,44.2769456319058,49.9249455531383,-1.0,1,1,215.2725,111.9408,4.727499999999992,108.0592,stress_within_limit,none,feasible,True,True,True,True,True,-4.1714662e-07,1
BCC,69,continuation,0.0177373114189495,0.170210694067584,47.7453303763166,49.7220211513281,1.0,0,0,223.3495,113.3637,-3.349500000000006,106.6363,skin_stress_only,stress,skin_stress_only,True,True,False,True,True,-5.1759692e-07,1
BCC,70,continuation,0.0238609434971263,0.267412383417887,59.6146481324048,48.9509155029405,-1.0,1,1,215.0793,104.6851,4.920700000000011,115.3149,stress_within_limit,none,feasible,True,True,True,True,True,-1.2000104e-06,1
BCC,71,continuation,0.0211887646304929,0.335741898951087,67.6082580031185,48.5370217456197,-1.0,1,0,208.4091,93.49468,11.590900000000005,126.50532,stress_within_limit,none,feasible,True,True,True,True,True,-1.2786842e-06,1
