problem_id,display_name,dimension,sequential_evaluations,total_evaluations,seed_1_normalized_hv,seed_2_normalized_hv,seed_3_normalized_hv,seed_4_normalized_hv,seed_5_normalized_hv,median_normalized_hv
CF1_D10,CF1 D10,10,120,140,0.9370871491449676,0.96318261361010926,0.99415832125643777,0.97127615113146393,0.91592925532351055,0.96318261361010926
CF1_D10,CF1 D10,10,121,141,0.9370871491449676,0.96318261361010926,0.99415832125643777,0.97127615113146393,0.91592925532351055,0.96318261361010926
CF1_D10,CF1 D10,10,122,142,0.9370871491449676,0.96318261361010926,0.99415832125643777,0.97127615113146393,0.91592925532351055,0.96318261361010926
CF1_D10,CF1 D10,10,123,143,0.9370871491449676,0.96318261361010926,0.99415832125643777,0.97127615113146393,0.91592925532351055,0.96318261361010926
CF1_D10,CF1 D10,10,124,144,0.9370871491449676,0.96318261361010926,0.99415832125643777,0.97127615113146393,0.91592925532351055,0.96318261361010926
CF1_D10,CF1 D10,10,125,145,0.9370871491449676,0.96318261361010926,0.99415832125643777,0.97127615113146393,0.91592925532351055,0.96318261361010926
CF1_D10,CF1 D10,10,126,146,0.9370871491449676,0.96318261361010926,0.99415832125643777,0.97127615113146393,0.91592925532351055,0.96318261361010926
CF1_D10,CF1 D10,10,127,147,0.9370871491449676,0.96318261361010926,0.99415832125643777,0.97127615113146393,0.91592925532351055,0.96318261361010926
CF1_D10,CF1 D10,10,128,148,0.9370871491449676,0.96318261361010926,0.99415832125643777,0.97127615113146393,0.91592925532351055,0.96318261361010926
CF1_D10,CF1 D10,10,129,149,0.9370871491449676,0.96318261361010926,0.99415832125643777,0.9713977392253591,0.91592925532351055,0.96318261361010926
CF1_D10,CF1 D10,10,130,150,0.9370871491449676,0.96318261361010926,0.99415832125643777,0.9713977392253591,0.92569127859708167,0.96318261361010926
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,0,20,0.22997368348064046,0.3338285556960725,0.40109422850753285,0.3912158311458499,0.22569087809626415,0.3338285556960725
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,1,21,0.23403193264760216,0.3338285556960725,0.40556530660173173,0.3912158311458499,0.22569087809626415,0.3338285556960725
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,2,22,0.23403193264760216,0.34844813192629409,0.40556530660173173,0.3912158311458499,0.2343777618542365,0.34844813192629409
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,3,23,0.25020004326003092,0.34844813192629409,0.40556530660173173,0.44290564897333801,0.2343777618542365,0.34844813192629409
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,4,24,0.25020004326003092,0.34844813192629409,0.40556530660173173,0.46845222319154672,0.26588916689069025,0.34844813192629409
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,5,25,0.25020004326003092,0.34844813192629409,0.40556530660173173,0.46845222319154672,0.28376167623488435,0.34844813192629409
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,6,26,0.26664514865352207,0.35385961554996953,0.40556530660173173,0.46845222319154672,0.28420400732696,0.35385961554996953
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,7,27,0.26919388470206429,0.35753427063965992,0.42256558325315868,0.46845222319154672,0.30324893869580566,0.35753427063965992
