problem_id,total_evaluations,is_final,record_type,normalized_x1,normalized_x2,pof_score,exact_feasible,predicted_feasible_at_half,error_class,observed_feasible,objective_y1,objective_y2
COSSIN1,50,1,grid,0.00248756218905473,0.375621890547264,0.895051194084947,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.380597014925373,0.910942883788124,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.385572139303483,0.92725841255462,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.390547263681592,0.943965414682308,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.395522388059701,0.961027238968214,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.400497512437811,0.978402602902071,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.40547263681592,0.996045212302198,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.41044776119403,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.415422885572139,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.420398009950249,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.425373134328358,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.430348258706468,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.435323383084577,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.440298507462687,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.445273631840796,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.450248756218905,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.455223880597015,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.460199004975124,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.465174129353234,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.470149253731343,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.475124378109453,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.480099502487562,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.485074626865672,1,1,1,3,NaN,,
