solver_id,solver_label,pareto_point_index,retained_evaluations,true_oracle_calls,objective_f1_fabrication_cost,objective_f2_end_deflection
botorch_qlognehvi,BoTorch qLogNEHVI,6,150,150,10.0878994017331,0.0026086847433303101
botorch_qlognehvi,BoTorch qLogNEHVI,7,150,150,14.059606019923899,0.0023940645115232599
botorch_qlognehvi,BoTorch qLogNEHVI,8,150,150,17.772572253890601,0.0021926521030289701
botorch_qlognehvi,BoTorch qLogNEHVI,9,150,150,22.563087948023401,0.00140728934372501
botorch_qlognehvi,BoTorch qLogNEHVI,10,150,150,25.286271661436199,0.00129654488989802
botorch_qlognehvi,BoTorch qLogNEHVI,11,150,150,28.160639896754201,0.00127424478590732
botorch_qlognehvi,BoTorch qLogNEHVI,12,150,150,33.601018865144397,0.0010308852690773
botorch_qlognehvi,BoTorch qLogNEHVI,13,150,150,33.609927432785099,0.00090738414226458597
botorch_qlognehvi,BoTorch qLogNEHVI,14,150,150,35.2447180050386,0.00080681384113280596
botorch_qlognehvi,BoTorch qLogNEHVI,15,150,150,54.336154867676697,0.00049138197219673896
botorch_qlognehvi,BoTorch qLogNEHVI,16,150,150,57.904610937500003,0.00043904000000000002
trieste_echvi,Trieste ECHVI,1,150,150,2.7993721621446501,0.0123022937334654
trieste_echvi,Trieste ECHVI,2,150,150,3.02471306356097,0.0116931696751056
trieste_echvi,Trieste ECHVI,3,150,150,3.2495408462872799,0.010995941300578099
trieste_echvi,Trieste ECHVI,4,150,150,3.5877964250967298,0.0102357349037594
trieste_echvi,Trieste ECHVI,5,150,150,3.86688056974991,0.0096435639328309401
trieste_echvi,Trieste ECHVI,6,150,150,4.6055729519033903,0.0082777537103734897
trieste_echvi,Trieste ECHVI,7,150,150,5.2311169171525904,0.0052720314402914603
trieste_echvi,Trieste ECHVI,8,150,150,6.2014562494281904,0.0050717511342211101
trieste_echvi,Trieste ECHVI,9,150,150,6.6678504087164701,0.0040160002268154697
trieste_echvi,Trieste ECHVI,10,150,150,8.2306122231022307,0.00372715638681339
trieste_echvi,Trieste ECHVI,11,150,150,9.6961015786798495,0.0033448804739852002
trieste_echvi,Trieste ECHVI,12,150,150,11.7472267527711,0.0024156235519293798
trieste_echvi,Trieste ECHVI,13,150,150,12.206909975635,0.0021062013832031201
trieste_echvi,Trieste ECHVI,14,150,150,17.987748300303,0.0014415869168592701
trieste_echvi,Trieste ECHVI,15,150,150,22.342037318083001,0.00122100245997127
trieste_echvi,Trieste ECHVI,16,150,150,24.478014786763602,0.0011289030363547199
trieste_echvi,Trieste ECHVI,17,150,150,27.960127575444801,0.00106979889509872
trieste_echvi,Trieste ECHVI,18,150,150,44.279434057716401,0.00072686611175232999
comboo,COMBOO,1,150,150,3.7274145862259598,0.0097365160172369104
comboo,COMBOO,2,150,150,18.899187695219201,0.0056681561430137802
comboo,COMBOO,3,150,150,18.914100710877701,0.0034453730710906801
comboo,COMBOO,4,150,150,20.745476357822898,0.0030144201883627901
comboo,COMBOO,5,150,150,35.071349596407103,0.0013184835501515999
comboo,COMBOO,6,150,150,37.4416618634271,0.0013021037714135101
comboo,COMBOO,7,150,150,43.2596147407804,0.00082492242781307301
comboo,COMBOO,8,150,150,50.827930048069,0.00058040458285789896
comboo,COMBOO,9,150,150,52.4429588087742,0.00054238115102266105
comboo,COMBOO,10,150,150,57.4727335050734,0.00044234909358368901
comboo,COMBOO,11,150,150,57.904609289732399,0.00043904002653609702
comboo,COMBOO,12,150,150,57.904610937500003,0.00043904000000000002
ppesmoc,PPESMOC,1,150,150,10.352298103989201,0.0039698379395373302
ppesmoc,PPESMOC,2,150,150,12.4017086932477,0.0022614841636172298
ppesmoc,PPESMOC,3,150,150,22.203390288027698,0.00121659658304004
ppesmoc,PPESMOC,4,150,150,42.618517207544897,0.00061060996649548002
ppesmoc,PPESMOC,5,150,150,57.475929183159103,0.00044228176690709202
ppesmoc,PPESMOC,6,150,150,333.90949999999998,0.00043904000000000002
