record_type,case_id,phase,source,x1_ar,x2_taper_ratio,x3_primary_member_ratio,x4_secondary_member_ratio,y1_cditrim,y2_ctrim_nm,c_feasible_label,c_failure_reason,final_pareto,refined_mesh
evaluation,84,adaptive_phase,adaptive,6.000417155684383,0.2631886622716415,0.31641240132953574,0.3975605772966735,0.012201795130559268,10.94797803737185,true,feasible,false,true
evaluation,85,adaptive_phase,adaptive,9.707691857767518,0.2000249596356057,0.09117520643223884,0.15125758326807207,0.006656152109596901,41.216412864120194,true,feasible,true,true
evaluation,86,adaptive_phase,adaptive,7.111274142138977,0.20011039007052048,0.07045057212216237,0.18545258784518187,0.008890293250076524,16.837559723329033,true,feasible,true,true
evaluation,87,adaptive_phase,adaptive,6.76106024232183,0.26180145683506106,0.10480172781358156,0.19546498911326893,0.009444282956178541,16.32620781676306,true,feasible,false,true
evaluation,88,adaptive_phase,adaptive,6.2779853132812224,0.2001020351454988,0.05199397891165305,0.32396250806386256,0.010073678997564587,12.247859885579429,true,feasible,true,true
evaluation,89,adaptive_phase,adaptive,6.851146905251862,0.20001734670608398,0.05649902784203853,0.27590227288360136,0.00920219446852081,15.428212317595573,true,feasible,true,true
evaluation,90,adaptive_phase,adaptive,9.056758259550174,0.2000029562250257,0.09691005489917849,0.1500103857966328,0.007111970797980999,33.3010887974328,true,feasible,true,true
evaluation,91,adaptive_phase,adaptive,7.641514849784778,0.24966189261344424,0.20855297557217028,0.4999999969314275,0.008925587717489388,21.67628871198262,true,feasible,false,true
evaluation,92,adaptive_phase,adaptive,6.001059729496113,0.2439138537875125,0.25945543567704554,0.36202826503882746,0.011837366918734006,10.62751488112723,true,feasible,false,true
evaluation,93,adaptive_phase,adaptive,7.840386240712551,0.20006451053732138,0.05794014865954038,0.1500346269804008,0.00803085237603759,22.296046720874884,true,feasible,true,true
evaluation,94,adaptive_phase,adaptive,8.52443011731145,0.20415665279819203,0.05378270169496427,0.49491257878731554,0.007438947173717075,28.815755283549727,false,lattice stress,false,true
evaluation,95,adaptive_phase,adaptive,6.000556810229523,0.6030319266329679,0.39938980222113823,0.4403570667444201,0.01230477014637896,18.87690354596628,true,feasible,false,true
evaluation,96,adaptive_phase,adaptive,10.379207014449223,0.20001107910687427,0.10765451044536672,0.1537917447193234,0.006284890889037098,50.093422045081,true,feasible,true,true
evaluation,97,adaptive_phase,adaptive,9.266530784369241,0.20004483406902918,0.08491852721735998,0.1502349601433153,0.006938009341695178,35.94946282130012,true,feasible,true,true
evaluation,98,adaptive_phase,adaptive,6.000010855343724,0.22575744713231502,0.39999999005444037,0.24297352742320516,0.012600652710428229,10.21412620367287,true,feasible,false,true
evaluation,99,adaptive_phase,adaptive,10.872100508239818,0.20006706595792395,0.10420093658526437,0.2527922991074786,0.006018267636853877,57.59844160185831,true,feasible,true,true
evaluation,100,adaptive_phase,adaptive,6.6607104661638,0.20001758757920526,0.07159346284481066,0.37523786907988205,0.009558142048657648,13.964762799716159,true,feasible,true,true
