x_over_c,z_upper_over_c,z_lower_over_c,z_camber_over_c,dzc_dx_fine,box_j_zero_based,control_x_over_c,control_z_camber_over_c,control_dzc_dx,control_W2GJ
0.76700000000000002,0.037686827814799338,-0.018975392233322608,0.0093557177907383649,-0.014830458047256911,-1,nan,nan,nan,nan
0.76724999999999999,0.037655684983342139,-0.01895166958953572,0.0093520076969032095,-0.014850274277542042,-1,nan,nan,nan,nan
0.76750000000000007,0.037624530173556214,-0.018927944866357026,0.009348292653599594,-0.014870053794879823,-1,nan,nan,nan,nan
0.76775000000000004,0.037593363649892138,-0.018904218309880597,0.0093445726700057703,-0.014889796599273808,-1,nan,nan,nan,nan
0.76800000000000002,0.037562185676800398,-0.018880490166200484,0.0093408477552999573,-0.014909502690745313,-1,nan,nan,nan,nan
0.76824999999999999,0.037530996518731541,-0.018856760681410744,0.0093371179186603984,-0.014929172069287233,-1,nan,nan,nan,nan
0.76849999999999996,0.037499796440136075,-0.018833030101605447,0.0093333831692653142,-0.014948804734896015,-1,nan,nan,nan,nan
0.76875000000000004,0.037468585705464519,-0.018809298672878623,0.0093296435162929479,-0.014968400687568106,-1,nan,nan,nan,nan
0.76900000000000002,0.03743736457916743,-0.018785566641324372,0.0093258989689215289,-0.014987959927310612,-1,nan,nan,nan,nan
0.76924999999999999,0.037406133325695319,-0.018761834253036732,0.0093221495363292935,-0.015007482454123533,-1,nan,nan,nan,nan
0.76949999999999996,0.037374892209498703,-0.018738101754109764,0.0093183952276944693,-0.015026968267989105,-1,nan,nan,nan,nan
0.76975000000000005,0.037343641495028106,-0.01871436939063751,0.0093146360521952978,-0.015046417368928644,-1,nan,nan,nan,nan
0.77000000000000002,0.037312381446734072,-0.018690637408714062,0.0093108720190100049,-0.015065853050565181,-1,nan,nan,nan,nan
0.77024999999999999,0.037281112080642061,-0.018666905829302027,0.0093071031256700167,-0.015085517344495258,-1,nan,nan,nan,nan
0.77049999999999996,0.037249831086586471,-0.018643172565910953,0.0093033292603377591,-0.015105453288796866,-1,nan,nan,nan,nan
0.77075000000000005,0.037218538041241742,-0.018619437243190508,0.0092995503990256165,-0.015125421626677849,-1,nan,nan,nan,nan
0.77100000000000002,0.037187233200472861,-0.018595700101424022,0.0092957665495244195,-0.015145358801241571,-1,nan,nan,nan,nan
0.77124999999999999,0.037155916820144776,-0.018571961380894782,0.0092919777196249966,-0.015165264812459611,-1,nan,nan,nan,nan
0.77149999999999996,0.037124589156122476,-0.018548221321886094,0.0092881839171181906,-0.015185139660342628,-1,nan,nan,nan,nan
0.77175000000000005,0.037093250464270901,-0.018524480164681251,0.009284385149794825,-0.015204983344911938,-1,nan,nan,nan,nan
0.77200000000000002,0.03706190100045504,-0.018500738149563573,0.0092805814254457338,-0.015224795866149776,-1,nan,nan,nan,nan
0.77224999999999999,0.037030541020539862,-0.01847699551681636,0.0092767727518617508,-0.015244577224059697,-1,nan,nan,nan,nan
0.77249999999999996,0.03699917078039032,-0.01845325250672291,0.0092729591368337048,-0.015264327418641699,-1,nan,nan,nan,nan
0.77275000000000005,0.036967790535871375,-0.018429509359566516,0.0092691405881524299,-0.01528404644989223,-1,nan,nan,nan,nan
0.77300000000000002,0.036936400542848025,-0.018405766315630505,0.0092653171136087599,-0.015303734317811291,-1,nan,nan,nan,nan
