case_id,a_m,t1_over_a,mass_kg,compliance_Nm,label_constraint,label_feasible,pareto_case071,skin_max_MPa,lattice_max_MPa,stress_state,active_failures,plot_category
55,0.0122559520330082,0.291637121865372,68.8572137291215,44.9955535533205,-1.0,1,1,192.8553,135.6528,stress_within_limit,none,feasible
56,0.010569004832957,0.360706342204495,78.299893302499,44.1175513858324,-1.0,1,1,195.5837,137.8485,stress_within_limit,none,feasible
57,0.0136951104646708,0.238600522087526,61.2255529686386,46.0807258064085,-1.0,1,1,199.7773,135.425,stress_within_limit,none,feasible
58,0.0149890435929491,0.12513908962461,44.2738554903085,48.8532441410558,-1.0,1,1,206.8338,162.7656,stress_within_limit,none,feasible
59,0.012400679973016,0.275307347663638,66.5660927991033,45.2029244318077,-1.0,1,1,188.6483,138.447,stress_within_limit,none,feasible
60,0.0136842585234569,0.173759420060956,51.5753412629072,47.5268997568877,-1.0,1,1,202.0214,144.7563,stress_within_limit,none,feasible
61,0.0102299919665639,0.381900668093093,80.9176498246561,43.7806238640196,-1.0,1,1,198.0552,131.3967,stress_within_limit,none,feasible
62,0.0105107003281649,0.337222268075995,75.2379437665967,44.4097319983099,-1.0,1,1,190.4312,137.88,stress_within_limit,none,feasible
63,0.0129091096975604,0.198034725238643,55.2155242492818,46.9279142616761,-1.0,1,1,210.8153,193.6005,stress_within_limit,none,feasible
64,0.0128881154488083,0.229170741922922,59.9132339830928,46.1782942907861,-1.0,1,1,192.3323,144.2276,stress_within_limit,none,feasible
65,0.0123890889344575,0.248082826608985,62.6402280514774,45.696531907623,-1.0,1,1,196.2304,144.1612,stress_within_limit,none,feasible
66,0.0137867266310104,0.149989949249722,47.9639526763093,48.1674175710636,-1.0,1,1,213.1386,210.4994,stress_within_limit,none,feasible
67,0.0109857040388572,0.304724471300638,70.9126498472177,44.8248781893566,-1.0,1,1,196.2474,139.5403,stress_within_limit,none,feasible
68,0.0122445218054538,0.262086441018802,64.8170176591656,45.423871145185,-1.0,1,1,194.0821,143.5766,stress_within_limit,none,feasible
69,0.0153209860372263,0.107012240517387,41.8081958729977,49.4038395457071,-1.0,1,1,209.3363,191.2435,stress_within_limit,none,feasible
70,0.0154435748900962,0.093826622786741,39.9730748175242,49.8490642701714,-1.0,1,1,215.4348,208.6087,stress_within_limit,none,feasible
71,0.0128584146218527,0.22029711034482,58.6480745404004,46.3711296029843,-1.0,1,1,196.3448,143.8787,stress_within_limit,none,feasible
