record_type,aspect_ratio_index,taper_ratio_index,aspect_ratio,taper_ratio,binary_feasibility_score,raw_score,case,period,AR,CDitrim,Ctrim_Nm,constraint,feasible,final_pareto,selection_source,modeled_half_wing_mass_kg,max_screening_stress_mpa,max_shell_vm_mpa,max_cbeam_normal_stress_mpa
grid,156,45,9.875,0.31000000000000005,0.90322241724608099,0.90322241724608099,,,,,,,,,,,,,
grid,157,45,9.9000000000000004,0.31000000000000005,0.87704526207546696,0.87704526207546696,,,,,,,,,,,,,
grid,158,45,9.9250000000000007,0.31000000000000005,0.85026896760136983,0.85026896760136983,,,,,,,,,,,,,
grid,159,45,9.9499999999999993,0.31000000000000005,0.822933333668175,0.822933333668175,,,,,,,,,,,,,
grid,160,45,9.9749999999999996,0.31000000000000005,0.79507492292427562,0.79507492292427562,,,,,,,,,,,,,
grid,161,45,10,0.31000000000000005,0.76672682056822283,0.76672682056822283,,,,,,,,,,,,,
grid,162,45,10.025,0.31000000000000005,0.73791862556662835,0.73791862556662835,,,,,,,,,,,,,
grid,163,45,10.050000000000001,0.31000000000000005,0.70867664085110516,0.70867664085110516,,,,,,,,,,,,,
grid,164,45,10.074999999999999,0.31000000000000005,0.6790242297580068,0.6790242297580068,,,,,,,,,,,,,
grid,165,45,10.100000000000001,0.31000000000000005,0.64898230844380644,0.64898230844380644,,,,,,,,,,,,,
grid,166,45,10.125,0.31000000000000005,0.61856994800767595,0.61856994800767595,,,,,,,,,,,,,
grid,167,45,10.15,0.31000000000000005,0.58780506472405902,0.58780506472405902,,,,,,,,,,,,,
grid,168,45,10.175000000000001,0.31000000000000005,0.55670518155554793,0.55670518155554793,,,,,,,,,,,,,
grid,169,45,10.199999999999999,0.31000000000000005,0.52528824862184509,0.52528824862184509,,,,,,,,,,,,,
grid,170,45,10.225000000000001,0.31000000000000005,0.4935735143420244,0.4935735143420244,,,,,,,,,,,,,
grid,171,45,10.25,0.31000000000000005,0.46158244244085328,0.46158244244085328,,,,,,,,,,,,,
grid,172,45,10.275,0.31000000000000005,0.42933967286757402,0.42933967286757402,,,,,,,,,,,,,
grid,173,45,10.300000000000001,0.31000000000000005,0.39687402689296569,0.39687402689296569,,,,,,,,,,,,,
grid,174,45,10.324999999999999,0.31000000000000005,0.36421955819751167,0.36421955819751167,,,,,,,,,,,,,
grid,175,45,10.350000000000001,0.31000000000000005,0.33141665258337016,0.33141665258337016,,,,,,,,,,,,,
grid,176,45,10.375,0.31000000000000005,0.29851317892950885,0.29851317892950885,,,,,,,,,,,,,
grid,177,45,10.4,0.31000000000000005,0.26556569297493837,0.26556569297493837,,,,,,,,,,,,,
grid,178,45,10.425000000000001,0.31000000000000005,0.23264069315889868,0.23264069315889868,,,,,,,,,,,,,
grid,179,45,10.449999999999999,0.31000000000000005,0.19981592359058575,0.19981592359058575,,,,,,,,,,,,,
grid,180,45,10.475000000000001,0.31000000000000005,0.16718171253830094,0.16718171253830094,,,,,,,,,,,,,
grid,181,45,10.5,0.31000000000000005,0.1348423245188527,0.1348423245188527,,,,,,,,,,,,,
grid,182,45,10.525,0.31000000000000005,0.10291728850083043,0.10291728850083043,,,,,,,,,,,,,
grid,183,45,10.550000000000001,0.31000000000000005,0.071542641534104612,0.071542641534104612,,,,,,,,,,,,,
grid,184,45,10.574999999999999,0.31000000000000005,0.040871992916540256,0.040871992916540256,,,,,,,,,,,,,
grid,185,45,10.600000000000001,0.31000000000000005,0.011079945994467599,0.011079945994467599,,,,,,,,,,,,,
grid,186,45,10.625,0.31000000000000005,0,-0.017640207307211053,,,,,,,,,,,,,
grid,187,45,10.65,0.31000000000000005,0,-0.045080932364100268,,,,,,,,,,,,,
grid,188,45,10.675000000000001,0.31000000000000005,0,-0.071019211715092068,,,,,,,,,,,,,
