case,period,AR,taper_ratio,CDitrim,Ctrim_Nm,constraint,feasible,final_pareto,selection_source,modeled_half_wing_mass_kg,max_screening_stress_mpa,max_shell_vm_mpa,max_cbeam_normal_stress_mpa
14,initial campaign,12.0,0.21996389985084536,0.005475217098670835,81.21466149504964,1.0,False,False,,20.486088253403185,272.7336,272.7336,260.8688
15,initial campaign,9.261846198283164,0.3455631847427361,0.006914148239177383,48.86552143117122,-1.0,True,False,,20.619245099015053,212.985,212.985,153.9798
16,initial campaign,7.306097388759948,0.3596748697264197,0.008681591818326288,24.472087331864145,-1.0,True,False,,21.19105533767516,151.2056,151.2056,119.2664
17,initial campaign,7.591683772274891,0.3159997758432699,0.008347226757492722,25.073013030441302,-1.0,True,False,,21.296679047312754,154.7357,154.7357,125.9482
18,initial campaign,7.411828761203055,0.2576616164889694,0.00861299337610312,20.76046258427856,-1.0,True,True,,21.62875186780707,135.7205,135.7205,127.9093
19,initial campaign,9.026739388198862,0.3451596064094717,0.0070820217553136805,45.07752208983833,-1.0,True,False,,20.674779553708724,189.873,189.873,151.7328
20,initial campaign,10.127528136742,0.20804873855872114,0.00644157565853256,47.103563783089434,-1.0,True,True,,20.972618341073364,192.3471,192.3471,177.9528
21,initial campaign,6.964963292574535,0.6188909556521796,0.009236115720964397,33.24876897086914,-1.0,True,False,,20.55096562791712,200.0723,184.9103,200.0723
22,initial campaign,7.027715705966235,0.5629003653856058,0.009106547074563634,31.24063675299813,-1.0,True,False,,20.606977618097773,174.9521,174.9521,160.0733
23,initial campaign,9.630163765007882,0.27063913449650623,0.006692621033237486,46.91370383000636,-1.0,True,False,,20.807500635455984,208.9434,208.9434,162.9326
24,initial campaign,6.919389877000871,0.6734596763466152,0.009340719065842551,35.4002992634088,-1.0,True,False,,20.40293968751578,210.2059,210.2059,188.4673
25,initial campaign,6.441670727806091,0.6265489057150135,0.010021511553814519,26.722366122793822,-1.0,True,False,,20.649486281276374,165.6112,165.6112,147.668
26,initial campaign,8.975265786530013,0.3746699601321284,0.007118124316733434,46.99501490826095,-1.0,True,False,,20.590796276172444,210.9243,210.9243,181.1771
27,initial campaign,8.387595482335621,0.2671292620276281,0.007619168187856767,30.427036890381547,1.0,False,False,,21.229951578438868,173.2207,173.2207,127.1356
28,initial campaign,8.724298482732852,0.3065961149588462,0.007323415336116644,37.462704992419674,-1.0,True,False,,20.959731583929475,182.2168,182.2168,166.7448
29,initial campaign,8.375764156448387,0.4302258901422798,0.007595410425482587,42.063199896744386,1.0,False,False,,20.574367030395422,230.2313,230.2313,180.7432
30,initial campaign,8.731286103316807,0.3543510224002337,0.007304767632163519,41.431844264864694,-1.0,True,False,,20.740558760849837,188.2553,188.2553,152.4734
31,initial campaign,9.045991385745124,0.2810148877899845,0.007091343545454837,39.63040739609544,-1.0,True,False,,20.951583067094866,184.0565,184.0565,168.663
32,initial campaign,8.536432823643848,0.3328308464929487,0.007462982469668372,36.96560987721455,-1.0,True,False,,20.859607628030417,198.3573,198.3573,172.2119
33,initial campaign,6.646559315975923,0.5866094789677959,0.009674432129722505,27.549210313389743,-1.0,True,False,,20.712260220419992,170.9823,170.9823,132.1505
34,initial campaign,6.7351104370997295,0.6444458255331019,0.009583088039318935,31.317049353867006,-1.0,True,False,,20.533205400087233,199.0056,199.0056,194.8411
35,initial campaign,8.97396023879836,0.28742432547431074,0.007140879355214328,39.20863218247807,-1.0,True,False,,20.941393593832675,171.2605,171.2605,167.3474
36,initial campaign,9.393322043603863,0.2713090029407975,0.0068512882146001455,43.53568563485688,-1.0,True,False,,20.891685542990686,209.554,209.554,182.3557
37,initial campaign,8.344804958728695,0.35179651929684996,0.007620144913732948,35.798752324886514,1.0,False,False,,20.886040671514323,185.0579,185.0579,172.2333
38,initial campaign,9.490443854338872,0.24507332778190638,0.006806305609291086,42.28454485661733,-1.0,True,True,,21.006202589030792,209.4826,209.4826,169.1957
39,initial campaign,9.577920063987332,0.26221328457266346,0.006733827658554861,45.26726572382053,-1.0,True,False,,20.891099585451904,202.0607,202.0607,159.0089
40,initial campaign,9.68468182261068,0.2427264712781622,0.006679566777423751,44.749500393710235,-1.0,True,True,,20.94182664537295,210.8963,210.8963,179.1645
41,continuation,6.927019409125855,0.20053917079755273,0.009356362783689247,15.143378472745745,-1.0,True,True,primary,22.199546667569514,98.13517,98.13517,69.30613
42,continuation,9.123796129642823,0.2026024386475909,0.00711103147732479,33.8083054715854,-1.0,True,True,primary,21.315152883716657,175.7772,175.7772,139.1658
43,continuation,8.896460073782517,0.20181231938376878,0.007281521063438626,31.2400454306745,-1.0,True,True,primary,21.39953737950046,164.7802,149.909,164.7802
44,continuation,8.050330779474436,0.2086718124818453,0.007978319305954409,23.459250413264293,-1.0,True,True,primary,21.669490461047843,138.8707,138.8707,137.8932
45,continuation,6.52218344478104,0.2084714953336133,0.009958791733476639,13.023569374114015,-1.0,True,True,primary,22.381926829366375,99.03386,80.79339,99.03386
46,continuation,7.261813567067264,0.20205971518308016,0.008894128478385825,17.339085692161866,-1.0,True,True,challenger,22.033704030098495,114.42,114.42,112.9867
47,continuation,8.304944481348388,0.20395937972383518,0.007757728825140677,25.456119356968323,-1.0,True,True,primary,21.57864986908182,127.9733,127.9733,126.1914
48,continuation,9.355922678910627,0.204521740768349,0.006944543708910523,36.671524341604076,-1.0,True,True,challenger,21.25901444186488,198.3238,198.3238,135.5981
