record_type,case_id,phase,source,x1_ar,x2_taper_ratio,x3_primary_member_ratio,x4_secondary_member_ratio,y1_cditrim,y2_ctrim_nm,c_feasible_label,c_failure_reason,final_pareto,normalized_x1_ar,normalized_x2_taper_ratio,normalized_x3_primary_member_ratio,normalized_x4_secondary_member_ratio
evaluation,16,initial_design,corner,12.0,0.8,0.4,0.5,0.006183431517330535,226.55251024887647,false,skin stress,false,1.0,1.0000000000000002,1.0000000000000002,1.0
evaluation,17,initial_design,LHS,10.4034424606333,0.223869741267448,0.222178367932089,0.191861400637229,0.006491923469849513,51.654576136822094,true,feasible,false,0.7339070767722168,0.0397829021124133,0.49193819409168293,0.11960400182065432
evaluation,18,initial_design,LHS,8.2322701288741,0.287900190134212,0.276083285414566,0.354585811640608,0.008398115763181184,28.870197030915154,true,feasible,false,0.37204502147901675,0.14650031689035328,0.6459522440416172,0.5845308904017371
evaluation,19,initial_design,LHS,11.702297809981,0.598728696447524,0.100426785705812,0.375871144514997,0.005639011997447122,161.31436486347476,false,skin+lattice stress,false,0.9503829683301666,0.66454782741254,0.14407653058803427,0.6453461271857057
evaluation,20,initial_design,LHS,6.45194918476187,0.439719649267973,0.307227122468246,0.447654237101457,0.011037470963872123,18.328044928502756,true,feasible,false,0.0753248641269783,0.39953274877995504,0.7349346356235601,0.8504406774327343
evaluation,21,initial_design,LHS,8.11800072577512,0.698603634557141,0.254397545382508,0.308361056454605,0.008371737952263739,56.781775950946944,false,skin stress,false,0.35300012096252004,0.831006057595235,0.5839929868071657,0.45246016129887145
evaluation,22,initial_design,LHS,9.33172562503914,0.553176127046963,0.358051171454899,0.268920491146494,0.007400672057622367,72.01102580718451,false,skin stress,false,0.5552876041731899,0.5886268784116049,0.8801462041568544,0.3397728318471258
evaluation,23,initial_design,LHS,11.1406833735304,0.719603002448294,0.0870488150988581,0.153889485873834,0.005953751001224691,168.96667704899534,false,skin+lattice stress,false,0.8567805622550667,0.8660050040804901,0.10585375742530886,0.011112816782382868
evaluation,24,initial_design,LHS,7.19802383255301,0.384802222815527,0.188405479604342,0.207919988971845,0.009120755589745979,24.22707213202258,true,feasible,false,0.19967063875883495,0.308003704692545,0.39544422744097724,0.1654856827767
evaluation,25,initial_design,LHS,10.0490423099991,0.370645763662115,0.24618765591677,0.489226879454241,0.006747912181641475,62.484700128705114,false,skin stress,false,0.67484038499985,0.284409606103525,0.5605361597622001,0.9692196555835458
