Case,Source,AR,lambda,r1,r2,HalfWingMass,WingMassTotal,CDitrim,Ctrim
64,adaptive,7.4866938414473925,0.200010195282354,0.06067474807034154,0.1500250203032064,18.217770932125642,36.435541864251284,0.008382788694924672,19.582807292172536
80,adaptive,7.240792865854731,0.20002088668078735,0.05001981950626672,0.48139932302243726,18.02079063650677,36.04158127301354,0.00866838218165319,18.005598903522774
41,adaptive,7.354405424392972,0.20000414343539902,0.11638338960424995,0.31406782851252574,22.471239784710157,44.942479569420314,0.008808344359736415,17.871041504122502
86,adaptive,7.111274142138977,0.20011039007052048,0.07045057212216237,0.18545258784518187,18.890618518670625,37.78123703734125,0.008890293250076524,16.837559723329033
31,adaptive,7.099406279890274,0.20003434233206205,0.09813313526134776,0.4999993667104473,21.736858125954665,43.47371625190933,0.009090738544499733,16.237341487971495
89,adaptive,6.851146905251862,0.20001734670608398,0.05649902784203853,0.27590227288360136,18.25619741227529,36.51239482455058,0.00920219446852081,15.428212317595573
37,adaptive,6.6867697591199855,0.2000609402952201,0.050016507764657894,0.1500014908700283,17.81150505831616,35.62301011663232,0.009408487020013451,14.658171321975804
100,adaptive,6.6607104661638,0.20001758757920526,0.07159346284481066,0.37523786907988205,19.443824950203012,38.887649900406025,0.009558142048657648,13.964762799716159
61,adaptive,6.485250299211767,0.2000363591141367,0.05110131438560015,0.4908306560284438,18.251394280632084,36.50278856126417,0.009744673920645852,13.320277465023679
82,adaptive,6.496143528892016,0.2000215545614894,0.07913235490718104,0.2596415940417267,19.804685389665746,39.60937077933149,0.009835203774802835,12.988814509978774
88,adaptive,6.2779853132812224,0.2001020351454988,0.05199397891165305,0.32396250806386256,18.173823015774275,36.34764603154855,0.010073678997564587,12.247859885579429
36,adaptive,6.367254858068035,0.20003549398402845,0.12096257177722089,0.313567199534024,23.454452515831033,46.908905031662066,0.010299051132739215,11.910053368458218
1,corner,6.0,0.2,0.05,0.15,17.90977616497684,35.81955232995368,0.010537843603557452,10.953141766601407
2,corner,6.0,0.2,0.05,0.5,18.293550472817515,36.58710094563503,0.010566434068262815,10.80771945298735
52,adaptive,6.000031355549499,0.2000247409718874,0.05830551322868176,0.28895348099412543,18.555501252416548,37.111002504833095,0.010585451183080612,10.71819345470712
44,adaptive,6.000451487959774,0.20002505485513875,0.10127364790352067,0.37113721662597154,22.083402113343404,44.16680422668681,0.010844408176511593,10.17140774745195
55,adaptive,6.029516568846752,0.2000052798537157,0.19161882814474424,0.49210709646784934,31.93352675669066,63.86705351338132,0.01151362182328642,9.842261509221682
62,adaptive,6.000131967752454,0.2000518417423856,0.27145891806085326,0.32417538956165587,38.007948059568214,76.01589611913643,0.012017180087027589,9.662728208486264
74,adaptive,6.0000132715357095,0.20001619837274737,0.3021156456128556,0.49999996653627987,43.651757275403725,87.30351455080745,0.012432666140078968,9.481284647009964
4,corner,6.0,0.2,0.4,0.5,52.69296792924804,105.38593585849608,0.013097431856977027,9.3272810223876
