topology,case_id,design_id,X1_cell_size_m,X2_t1_over_a,Y1_two_wing_mass_kg,Y2_two_wing_trim_compliance_Nm,C_binary_feasible,C_signed_recorded,within_topology_observed_pareto,pooled_observed_pareto,evaluation_period,field_output_available,half_wing_skin_mass_kg,half_wing_lattice_mass_kg,flutter_confirmation,harmonized_rerun_pass,harmonized_maximum_damping
FCC,48,FCC48,0.012653787274588832,0.3872242581846925,81.149745444908,44.240028478179354,1,-1,0,0,inherited_001_051,1,16.17577607795001,24.39909664450399,harmonized_18_point_rerun,1,-2.0586957e-06
FCC,49,FCC49,0.013543757077855628,0.2133673250420467,57.49440995152,46.584729754791844,1,-1,1,0,inherited_001_051,1,16.17577607795001,12.571428897809989,harmonized_18_point_rerun,1,-9.3906293e-07
FCC,50,FCC50,0.01826945566316083,0.2664501728107632,64.87226939595305,46.37419804392548,1,-1,0,0,inherited_001_051,1,16.17577607795001,16.26035862002652,harmonized_18_point_rerun,1,-1.6505876e-06
FCC,51,FCC51,0.013390706882069645,0.2601818313333786,64.33691899590357,45.58444646606892,1,-1,1,1,inherited_001_051,1,16.17577607795001,15.992683420001779,harmonized_18_point_rerun,1,-2.1422206e-06
FCC,52,FCC52,0.010733452687946395,0.32228732094096235,73.27977779970223,44.59982661519567,1,-1,1,1,continuation_052_071,1,16.17577607795001,20.464112821901107,harmonized_18_point_rerun,1,-2.2369668e-06
FCC,53,FCC53,0.014001465316059912,0.1879741860441007,53.754526980403845,47.21691433435387,1,-1,1,0,continuation_052_071,1,16.17577607795001,10.701487412251911,harmonized_18_point_rerun,1,-6.3521937e-07
FCC,54,FCC54,0.014468765438088359,0.1386944205079017,46.26961708320316,48.45348182969987,1,-1,1,1,continuation_052_071,1,16.17577607795001,6.959032463651567,harmonized_18_point_rerun,1,-4.04523e-07
FCC,55,FCC55,0.012255952033008213,0.29163712186537155,68.8572137291215,44.99555355332052,1,-1,1,1,continuation_052_071,1,16.17577607795001,18.252830786610737,harmonized_18_point_rerun,1,-3.4626127e-06
FCC,56,FCC56,0.010569004832956972,0.36070634220449455,78.29989330249896,44.1175513858324,1,-1,1,1,continuation_052_071,1,16.17577607795001,22.974170573299467,harmonized_18_point_rerun,1,-3.2629162e-06
FCC,57,FCC57,0.013695110464670769,0.2386005220875259,61.225552968638624,46.08072580640848,1,-1,1,1,continuation_052_071,1,16.17577607795001,14.437000406369302,harmonized_18_point_rerun,1,-1.4778378e-06
