beam_element_id,grid_a,grid_b,original_length_m,final_length_m
847933,505793,504414,0.005426181345982193,0.005426181345982193
847934,505794,504415,0.005426178845447616,0.005426178845447616
847935,505794,505305,0.0018772415734844472,0.0018772415734844472
848006,505836,504430,0.005757440246223336,0.005757440246223336
848007,505836,504470,0.004793857133784984,0.004793857133784984
848424,506133,505715,0.0017955178854053662,0.0017955178854053662
848564,506256,505794,0.0019146532605871036,0.0019146532605871036
848882,506500,506133,0.0017954933002510929,0.0017954933002510929
849031,506612,506256,0.0019146590132285946,0.0019146590132285946
849467,506951,505683,0.0048135185014559715,0.0048135185014559715
849500,506980,505683,0.005786882006016386,0.005786882006016386
849536,507014,505714,0.005425732003885478,0.005425732003885478
849537,507015,505715,0.005425729503143814,0.005425729503143814
849558,507030,505752,0.004800428699544577,0.004800428699544577
849591,507063,505752,0.005771166028587291,0.005771166028587291
849614,507087,505793,0.005426245912521054,0.005426245912521054
849615,507088,505794,0.005426243412016231,0.005426243412016231
849653,507121,505836,0.00478749676431521,0.00478749676431521
849701,507156,505836,0.005755595999580872,0.005755595999580872
851366,508382,506951,0.004813414522335107,0.004813414522335107
851389,508404,508382,0.006779907579658206,0.006779907579658206
851390,508405,508382,0.006779904245418886,0.006779904245418886
851421,508416,508409,0.002174997248812459,0.0015038773742645202
851425,508418,508404,0.006779908276108626,0.006779908276108626
851426,508419,508405,0.0067799062748495524,0.0067799062748495524
851427,508419,508416,0.0021749971263243196,0.0034849286550232847
851431,508423,508419,0.0022224742138336525,0.0035157320000424514
851441,508433,508423,0.0022223909620432713,0.0015691890762104324
851455,508444,508418,0.006779156481073975,0.006779156481073975
851456,508445,508419,0.006779154479592966,0.006779154479592966
851491,508462,506980,0.00578677371852263,0.00578677371852263
851492,508462,507014,0.0054257189763511305,0.0054257189763511305
851493,508462,507015,0.005425714809928643,0.005425714809928643
851494,508462,507030,0.004800428486259535,0.004800428486259535
851495,508462,508444,0.006779157181736922,0.006779157181736922
851496,508462,508445,0.006779153847128529,0.006779153847128529
851537,508498,508462,0.006767864725607103,0.006767864725607103
