grid_id,category,mpc_connected,observed_move_m,original_x_m,original_y_m,original_z_m,final_x_m,final_y_m,final_z_m,projection_x_m,projection_y_m,projection_z_m,projection_distance_m,selected_shell_element_id,N1,N2,N3,full_lattice_degree
516655,rejected_snap_beam_length,0,0.0,0.28332901,0.9863144159,0.03086405806,0.28332901,0.9863144159,0.03086405806,0.28333111699672886,0.9863346769465018,0.03262226452938269,0.0017583244690385492,450647,0.4364501574691748,0.06317608989423139,0.5003737526365938,2
517033,beyond_snap_tolerance,0,0.0,0.2839686871,1.023917556,0.009702272713,0.2839686871,1.023917556,0.009702272713,0.284004671119239,1.0241806040309025,0.03218199544722151,0.02248129051730967,450729,0.2675123631361982,0.28394048542059885,0.4485471514432029,4
517034,beyond_snap_tolerance,0,0.0,0.2839686871,1.023917556,0.02910641953,0.2839686871,1.023917556,0.02910641953,0.2839736146058876,1.023953576732214,0.032184701736030066,0.0030784968918978694,450729,0.346877647536265,0.2483844814473216,0.4047378710164134,4
517069,beyond_snap_tolerance,0,0.0,0.2840382755,1.014451146,0.01940434799,0.2840382755,1.014451146,0.01940434799,0.2840554982930435,1.0145997950704708,0.03229327934059961,0.01288980001905466,450709,0.026635374835523307,0.6562724783992608,0.31709214676521585,4
517095,beyond_snap_tolerance,0,0.0,0.2841101289,1.004997492,0.009702272713,0.2841101289,1.004997492,0.009702272713,0.2841405455032093,1.005262445205444,0.03240148241975479,0.02270077634536001,450689,-0.04157303522948749,0.8536764343929931,0.18789660083649437,4
517096,beyond_snap_tolerance,0,0.0,0.2841101289,1.004997492,0.02910641953,0.2841101289,1.004997492,0.02910641953,0.2841144938099283,1.0050356367887574,0.03240415352153245,0.003297957482481628,450690,0.18429264968289266,0.8520563165610674,-0.03634896624396007,4
517148,beyond_snap_tolerance,0,0.0,0.2841908932,0.9955670237,0.01940434799,0.2841908932,0.9955670237,0.01940434799,0.2842100447021504,0.9957199968072608,0.03251206051872954,0.013108619122065946,450674,0.31754458578613853,0.3623916224117674,0.3200637918020941,4
517181,beyond_snap_tolerance,0,0.0,0.2842720151,0.98614645,0.009702272713,0.2842720151,0.98614645,0.009702272713,0.28430527438644076,0.9864133135844194,0.032619983599727856,0.02291928870276013,450654,0.24083026730154483,0.5291647433122513,0.2300049893862039,4
517182,beyond_snap_tolerance,0,0.0,0.2842720151,0.98614645,0.02910641953,0.2842720151,0.98614645,0.02910641953,0.2842771180305919,0.9861873945449537,0.03262265515908504,0.00351647771141936,450654,0.19973463408001796,0.6084147549923329,0.19185061092764916,4
517219,beyond_snap_tolerance,0,0.0,0.2843641639,0.97675246,0.01940434799,0.2843641639,0.97675246,0.01940434799,0.2843827688653358,0.9769064059866939,0.03273012765266467,0.01332668184993705,450637,-0.011329598493448612,0.5159069049666272,0.49542269352682144,4
