Case,NormalizedSemispan,LiftPerUnitSpan_N_m
37,0.76,1163.04500768633
37,0.7625,1157.340892171
37,0.765,1151.61996608934
37,0.7675,1145.88206408307
37,0.77,1140.12700364392
37,0.7725,1134.3545836702
37,0.775,1128.56458298747
37,0.7775,1122.75675883646
37,0.78,1116.93084533138
37,0.7825,1111.08655189193
37,0.785,1105.22356165293
37,0.7875,1099.34152985504
37,0.79,1093.44008222077
37,0.7925,1087.51881331983
37,0.795,1081.57728492798
37,0.7975,1075.61502438369
37,0.8,1069.63152294705
37,0.8025,1063.62623416495
37,0.805,1057.5985722471
37,0.8075,1051.54791045669
37,0.81,1045.47357951981
37,0.8125,1039.37486605702
37,0.815,1033.2510110405
37,0.8175,1027.10120827926
37,0.82,1020.92460293473
37,0.8225,1014.72029006798
37,0.825,1008.48731321901
37,0.8275,1002.22466301753
37,0.83,995.931275823248
37,0.8325,989.60603239228
37,0.835,983.247756564508
37,0.8375,976.855213964613
37,0.84,970.427110707227
37,0.8425,963.962092093862
37,0.845,957.458741286163
37,0.8475,950.915577936422
37,0.85,944.331056752179
37,0.8525,937.703565967004
37,0.855,931.031425684201
37,0.8575,924.312886054001
37,0.86,917.546125237845
37,0.8625,910.729247105345
37,0.865,903.860278600426
37,0.8675,896.937166702762
37,0.87,889.957774898801
37,0.8725,882.91987906314
37,0.875,875.82116263556
37,0.8775,868.659210961396
37,0.88,861.431504642639
37,0.8825,854.135411723971
37,0.885,846.768178511221
37,0.8875,839.326918788985
37,0.89,831.808601168671
37,0.8925,824.210034257073
37,0.895,816.527849287973
37,0.8975,808.75847980365
37,0.9,800.898137908366
37,0.9025,792.942786539865
37,0.905,784.888107115423
37,0.9075,776.729461803302
37,0.91,768.461849545055
37,0.9125,760.079854804452
37,0.915,751.577587839692
37,0.9175,742.948615079526
37,0.92,734.185877922315
37,0.9225,725.281597958085
37,0.925,716.22716622229
37,0.9275,707.013013606467
37,0.93,697.62845894928
37,0.9325,688.061530576622
37,0.935,678.298756104796
37,0.9375,668.324914102476
37,0.94,658.122739637496
37,0.9425,647.672573691384
37,0.945,636.951943735884
37,0.9475,625.935059185246
37,0.95,614.592200608972
37,0.9525,602.888974985357
37,0.955,590.785400107202
37,0.9575,578.23476830975
37,0.96,565.182221092104
37,0.9625,551.562938934687
37,0.965,537.299809738622
37,0.9675,522.300376499677
37,0.97,506.452765573612
37,0.9725,489.620134992496
37,0.975,471.632908426987
37,0.9775,452.277577121044
37,0.98,431.279955841887
37,0.9825,408.279014655449
37,0.985,382.783673682676
37,0.9875,354.096286956711
37,0.99,321.163925659078
37,0.9925,282.249101158104
37,0.995,234.039869022067
37,0.9975,168.197026349694
37,1,0
64,0,2128.44717551186
64,0.0025,2128.42517476035
64,0.005,2128.35917897972
64,0.0075,2128.24920758566
64,0.01,2128.09529291784
64,0.0125,2127.89748021003
64,0.015,2127.65582754852
64,0.0175,2127.3704058186
64,0.02,2127.04129863937
64,0.0225,2126.66860228678
64,0.025,2126.25242560509
64,0.0275,2125.7928899069
64,0.03,2125.2901288617
64,0.0325,2124.74428837317
64,0.035,2124.15552644541
64,0.0375,2123.52401303813
64,0.04,2122.84992991103
64,0.0425,2122.13347045762
64,0.045,2121.37483952847
64,0.0475,2120.57425324425
64,0.05,2119.73193879881
64,0.0525,2118.84813425227
64,0.055,2117.92308831467
64,0.0575,2116.95706012017
64,0.06,2115.95031899223
64,0.0625,2114.90314419989
64,0.065,2113.81582470554
64,0.0675,2112.68865890438
64,0.07,2111.52195435595
64,0.0725,2110.31602750793
64,0.075,2109.07120341255
64,0.0775,2107.78781543606
64,0.08,2106.46620496133
64,0.0825,2105.10672108417
64,0.085,2103.70972030355
64,0.0875,2102.27556620613
64,0.09,2100.80462914543
64,0.0925,2099.29728591607
64,0.095,2097.75391942328
64,0.0975,2096.17491834831
64,0.1,2094.56067680983
64,0.1025,2092.91159402193
64,0.105,2091.22807394897
64,0.1075,2089.51052495773
64,0.11,2087.75935946722
64,0.1125,2085.97499359658
64,0.115,2084.15784681142
64,0.1175,2082.308341569
64,0.12,2080.42690296274
64,0.1225,2078.5139583663
64,0.125,2076.56993707775
64,0.1275,2074.59526996426
64,0.13,2072.59038910752
64,0.1325,2070.55572745051
64,0.135,2068.49171844589
64,0.1375,2066.39879570639
64,0.14,2064.2773926577
64,0.1425,2062.12794219414
64,0.145,2059.95087633754
64,0.1475,2057.74662589968
64,0.15,2055.51562014876
64,0.1525,2053.2582864801
64,0.155,2050.97505009164
64,0.1575,2048.66633366442
64,0.16,2046.33255704852
64,0.1625,2043.97413695469
64,0.165,2041.59148665217
64,0.1675,2039.18501567287
64,0.17,2036.7551295223
64,0.1725,2034.30222939761
64,0.175,2031.82671191296
64,0.1775,2029.32896883259
64,0.18,2026.80938681185
64,0.1825,2024.26834714642
64,0.185,2021.70622553009
64,0.1875,2019.12339182129
64,0.19,2016.52020981857
64,0.1925,2013.89703704539
64,0.195,2011.25422454433
64,0.1975,2008.59211668098
64,0.2,2005.91105095769
64,0.2025,2003.21135783742
64,0.205,2000.4933605777
64,0.2075,1997.75737507512
64,0.21,1995.00370972024
64,0.2125,1992.23266526321
64,0.215,1989.44453469015
64,0.2175,1986.6396031104
64,0.22,1983.81814765479
64,0.2225,1980.98043738488
64,0.225,1978.12673321338
64,0.2275,1975.25728783564
64,0.23,1972.37234567242
64,0.2325,1969.47214282375
64,0.235,1966.55690703405
64,0.2375,1963.62685766844
64,0.24,1960.68220570013
64,0.2425,1957.72315370904
64,0.245,1954.74989589129
64,0.2475,1951.76261807987
64,0.25,1948.76149777598
64,0.2525,1945.74670419135
64,0.255,1942.71839830101
64,0.2575,1939.67673290676
64,0.26,1936.62185271089
64,0.2625,1933.55389440015
64,0.265,1930.47298673976
64,0.2675,1927.3792506772
64,0.27,1924.27279945567
64,0.2725,1921.15373873692
64,0.275,1918.0221667333
64,0.2775,1914.87817434865
64,0.28,1911.7218453279
64,0.2825,1908.55325641508
64,0.285,1905.3724775193
64,0.2875,1902.1795718887
64,0.29,1898.97459629175
64,0.2925,1895.75760120576
64,0.295,1892.52863101225
64,0.2975,1889.28772419874
64,0.3,1886.03491356673
64,0.3025,1882.77022644541
64,0.305,1879.49368491082
64,0.3075,1876.20530600992
64,0.31,1872.90510198943
64,0.3125,1869.59308052875
64,0.315,1866.26924497679
