Campaign,FromCase,ToCase,Quantity,FromValue,ToValue,Change,Ratio,Change_pct
Planform,45,47,ScreenSkinVM_MPa,80.79339,127.9733,47.17990999999999,1.5839575490024616,58.39575490024615
Planform,45,47,ScreenBeamNormal_MPa,99.03386,126.1914,27.157539999999997,1.274224795438651,27.422479543865098
Planform,45,47,AreaCentroid_m,0.7605632383053491,0.8559669312687244,0.09540369296337525,1.1254382123121665,12.543821231216645
Planform,47,20,Semispan_m,2.195899604403371,2.4249112196136275,0.22901161521025637,1.1042905671784933,10.429056717849328
Planform,47,20,RootChord_m,0.878463868890038,0.7928078097581236,-0.08565605913191443,0.9024933612350579,-9.750663876494215
Planform,47,20,WingMassTotal_kg,43.15729973816364,41.94523668214673,-1.212063056016909,0.9719152249243923,-2.8084775075607693
Planform,47,20,SkinMassTwoWing_kg,32.53661818634531,32.39644585832714,-0.14017232801816704,0.9956918593316808,-0.43081406683191936
Planform,47,20,LatticeMassTwoWing_kg,10.620681551818329,9.548790823819584,-1.0718907279987455,0.8990751466589985,-10.092485334100154
Planform,47,20,CDitrim,0.007757728825140677,0.00644157565853256,-0.0013161531666081175,0.8303429784316738,-16.96570215683262
Planform,47,20,Ctrim_Nm,25.456119356968323,47.103563783089434,21.647444426121112,1.8503827359764233,85.03827359764233
Planform,47,20,ScreenSkinVM_MPa,127.9733,192.3471,64.37380000000002,1.5030252404212443,50.30252404212443
Planform,47,20,ScreenBeamNormal_MPa,126.1914,177.9528,51.761399999999995,1.4101816764058406,41.01816764058406
Planform,47,20,AreaCentroid_m,0.8559669312687244,0.9475088630462353,0.09154193177751091,1.10694564057729,10.694564057728995
Coupled,4,37,Semispan_m,1.8664645206378825,1.9703904710431037,0.10392595040522123,1.0556806460857362,5.56806460857362
Coupled,4,37,RootChord_m,1.0369247336877123,0.9821834675636123,-0.05474126612410002,0.9472080621228712,-5.279193787712877
Coupled,4,37,NominalRootDiameter_mm,9.09351513385772,1.1370646757515719,-7.956450458106148,0.12504126941164476,-87.49587305883553
Coupled,4,37,NominalTipDiameter_mm,4.54675756692886,0.17056139657838107,-4.376196170350479,0.037512753664055154,-96.24872463359449
Coupled,4,37,WingMassTotal_kg,105.38593585849608,35.62301011663232,-69.76292574186377,0.33802432769078494,-66.1975672309215
Coupled,4,37,SkinMassTwoWing_kg,32.8369866017944,32.7268257211984,-0.11016088059599838,0.9966452195528204,-0.33547804471796283
Coupled,4,37,LatticeMassTwoWing_kg,72.5489492567016,2.89618439543396,-69.65276486126764,0.03992041821565637,-96.00795817843436
Coupled,4,37,CDitrim,0.013097431856977027,0.009408487020013451,-0.003688944836963576,0.7183459416130905,-28.165405838690948
Coupled,4,37,Ctrim_Nm,9.3272810223876,14.658171321975804,5.330890299588203,1.571537438058621,57.15374380586209
Coupled,4,37,ScreenUtilization,0.3266712727272727,0.8812640909090909,0.5545928181818182,2.697709178868721,169.7709178868721
Coupled,4,37,HalfWingLLTLift_N,3458.545711974189,3116.4913753365013,-342.0543366376878,0.9010987955274304,-9.890120447256956
Coupled,4,37,RootLLTAeroMoment_Nm,2624.5285384372023,2491.54340174005,-132.98513669715248,0.949329894969883,-5.067010503011704
Coupled,4,37,LiftCentroid_m,0.758853216642634,0.7994706551918588,0.04061743854922473,1.0535247629692168,5.352476296921682
Coupled,4,37,LiftCentroidOverSemispan,0.40657253767850277,0.4057422459867193,-0.0008302916917834469,0.9979578264274209,-0.20421735725790757
Coupled,4,37,MaxAbsTrimVerticalDisplacement_m,0.00579897439093787,0.0089555437516888,0.0031565693607509297,1.5443323505073139,54.43323505073139
Coupled,4,64,Semispan_m,1.8664645206378825,2.08491882424243,0.21845430360454743,1.1170417659639673,11.704176596396731
Coupled,4,64,RootChord_m,1.0369247336877123,0.9282696095826273,-0.10865512410508504,0.8952140685094234,-10.478593149057659
Coupled,4,64,NominalRootDiameter_mm,9.09351513385772,1.3793668495516382,-7.714148284306082,0.15168687017585386,-84.83131298241462
