ChangedInput,LowCase,HighCase,LowInput,HighInput,LowFeasible,HighFeasible,Fixed_AR,Fixed_TaperRatio,Fixed_RootRatio,Fixed_TipRootRatio,Low_WingMassTotal_kg,High_WingMassTotal_kg,Ratio_WingMassTotal_kg,Change_pct_WingMassTotal_kg,Low_CDitrim,High_CDitrim,Ratio_CDitrim,Change_pct_CDitrim,Low_Ctrim_Nm,High_Ctrim_Nm,Ratio_Ctrim_Nm,Change_pct_Ctrim_Nm,Low_ScreenUtilization,High_ScreenUtilization,Ratio_ScreenUtilization,Change_pct_ScreenUtilization
TaperRatio,12,16,0.2,0.8,False,False,12.0,varied,0.4,0.5,84.58120627212793,70.26146600585216,0.8306983206150541,-16.930167938494588,0.006138873068373683,0.006183431517330535,1.0072584085809508,0.7258408580950837,74.56078913576043,226.55251024887647,3.0384939976476004,203.84939976476005,1.2267777272727272,3.422095,2.789498801553664,178.9498801553664
RootRatio,1,3,0.05,0.4,True,True,6.0,0.2,varied,0.15,35.81955232995368,91.34232308199292,2.550068807130484,155.0068807130484,0.010537843603557452,0.012580989612239302,1.1938865374688334,19.388653746883342,10.953141766601407,9.769402147107584,0.8919269334116252,-10.80730665883748,0.9114336363636364,0.3308731818181818,0.36302498461464805,-63.69750153853519
RootRatio,2,4,0.05,0.4,True,True,6.0,0.2,varied,0.5,36.58710094563503,105.38593585849608,2.880412307471139,188.0412307471139,0.010566434068262815,0.013097431856977027,1.2395318772977801,23.953187729778016,10.80771945298735,9.3272810223876,0.8630202757353641,-13.69797242646359,0.6969213636363636,0.3266712727272727,0.46873476660664076,-53.12652333933592
RootRatio,5,7,0.05,0.4,False,True,6.0,0.8,varied,0.15,34.31534776269614,67.2867896819147,1.9608365955440343,96.08365955440344,0.010687584353453305,0.011905061419245216,1.1139150836642078,11.391508366420776,30.25066730678607,26.94741692712225,0.8908040491747167,-10.919595082528332,1.6548463636363635,0.9057209090909091,0.547314197253137,-45.2685802746863
RootRatio,6,8,0.05,0.4,False,True,6.0,0.8,varied,0.5,34.99488788896032,80.61962555393077,2.3037543600579298,130.37543600579298,0.010712620946390243,0.012397069079397381,1.1572395907067667,15.723959070676674,29.87650941757736,25.884065670867656,0.866368467249363,-13.363153275063699,1.661258181818182,0.8922300000000001,0.5370808762690272,-46.291912373097276
RootRatio,9,11,0.05,0.4,False,False,12.0,0.2,varied,0.15,34.407663787008985,73.90272167638801,2.14785642332075,114.785642332075,0.005399311787796914,0.005981173409376953,1.1077658865515259,10.776588655152587,79.82404880112628,77.3272538872847,0.9687212694502367,-3.1278730549763267,2.076046363636364,1.2387813636363636,0.5967021668372268,-40.32978331627732
RootRatio,10,12,0.05,0.4,False,False,12.0,0.2,varied,0.5,34.978493390406534,84.58120627212793,2.4180917493526413,141.80917493526414,0.005407695751789858,0.006138873068373683,1.1352105129697463,13.52105129697463,79.51250922357943,74.56078913576043,0.9377240117791357,-6.227598822086433,2.0864231818181818,1.2267777272727272,0.5879812580512408,-41.20187419487592
RootRatio,13,15,0.05,0.4,False,False,12.0,0.8,varied,0.15,33.45032184195474,59.537452819285576,1.7798768305006651,77.98768305006651,0.005602894012336751,0.006017925290249504,1.0740744474193005,7.407444741930047,246.23466447719449,235.2773319490137,0.9555004468950568,-4.449955310494325,6.162013636363636,3.456077272727273,0.5608681636684585,-43.91318363315415
RootRatio,14,16,0.05,0.4,False,False,12.0,0.8,varied,0.5,33.95729726258819,70.26146600585216,2.069112434435746,106.9112434435746,0.005611556435273702,0.006183431517330535,1.1019102433795518,10.191024337955179,245.24499367835745,226.55251024887647,0.9237803669338244,-7.6219633066175625,6.177404545454546,3.422095,0.5539697092556524,-44.603029074434765
TipRootRatio,1,2,0.15,0.5,True,True,6.0,0.2,0.05,varied,35.81955232995368,36.58710094563503,1.0214282023575012,2.1428202357501203,0.010537843603557452,0.010566434068262815,1.0027131228912631,0.2713122891263131,10.953141766601407,10.80771945298735,0.9867232327753227,-1.32767672246773,0.9114336363636364,0.6969213636363636,0.7646430149504726,-23.53569850495274
TipRootRatio,3,4,0.15,0.5,True,True,6.0,0.2,0.4,varied,91.34232308199292,105.38593585849608,1.1537470506842376,15.374705068423754,0.012580989612239302,0.013097431856977027,1.0410494134925052,4.104941349250524,9.769402147107584,9.3272810223876,0.9547443008218387,-4.52556991781613,0.3308731818181818,0.3266712727272727,0.9873005449767213,-1.2699455023278738
TipRootRatio,5,6,0.15,0.5,False,False,6.0,0.8,0.05,varied,34.31534776269614,34.99488788896032,1.0198028045923784,1.9802804592378376,0.010687584353453305,0.010712620946390243,1.0023425866976992,0.2342586697699156,30.25066730678607,29.87650941757736,0.9876314170059721,-1.2368582994027877,1.6548463636363635,1.661258181818182,1.0038745700644556,0.38745700644555736
TipRootRatio,7,8,0.15,0.5,True,True,6.0,0.8,0.4,varied,67.2867896819147,80.61962555393077,1.1981493831856815,19.814938318568153,0.011905061419245216,0.012397069079397381,1.0413276036826493,4.132760368264932,26.94741692712225,25.884065670867656,0.9605397705045211,-3.9460229495478893,0.9057209090909091,0.8922300000000001,0.9851047834321832,-1.4895216567816782
TipRootRatio,9,10,0.15,0.5,False,False,12.0,0.2,0.05,varied,34.407663787008985,34.978493390406534,1.0165901877829053,1.659018778290533,0.005399311787796914,0.005407695751789858,1.0015527838218,0.1552783821799908,79.82404880112628,79.51250922357943,0.9960971714386097,-0.3902828561390348,2.076046363636364,2.0864231818181818,1.0049983557032136,0.49983557032136083
TipRootRatio,11,12,0.15,0.5,False,False,12.0,0.2,0.4,varied,73.90272167638801,84.58120627212793,1.1444937933747534,14.449379337475342,0.005981173409376953,0.006138873068373683,1.0263660068356315,2.6366006835631506,77.3272538872847,74.56078913576043,0.9642239364201814,-3.577606357981855,1.2387813636363636,1.2267777272727272,0.9903101251633294,-0.9689874836670609
TipRootRatio,13,14,0.15,0.5,False,False,12.0,0.8,0.05,varied,33.45032184195474,33.95729726258819,1.015156070038094,1.5156070038093938,0.005602894012336751,0.005611556435273702,1.0015460622524497,0.1546062252449687,246.23466447719449,245.24499367835745,0.9959807819872222,-0.40192180127778254,6.162013636363636,6.177404545454546,1.0024977077298374,0.2497707729837373
TipRootRatio,15,16,0.15,0.5,False,False,12.0,0.8,0.4,varied,59.537452819285576,70.26146600585216,1.1801221362142793,18.012213621427932,0.006017925290249504,0.006183431517330535,1.0275022070063236,2.7502207006323554,235.2773319490137,226.55251024887647,0.9629168622924202,-3.708313770757976,3.456077272727273,3.422095,0.9901673863037048,-0.9832613696295178
