case_id,a_m,t1_over_a,mass_kg,compliance_Nm,constraint,feasible,pareto_case071,evaluation_period,evidence_role
57,0.011171057382354,0.279885693057488,61.5747483545825,49.0287477592492,1,0,0,revised_continuation,revised_solver_assessment
58,0.0213857749398819,0.329870569633729,66.854860537902,48.5071039699029,-1,1,1,revised_continuation,revised_solver_assessment
59,0.015886655368859,0.190810008021898,50.405259180194,49.5198711552005,-1,1,1,revised_continuation,revised_solver_assessment
60,0.0140036660564601,0.136487358880234,43.5961541930007,50.0292904945481,1,0,0,revised_continuation,revised_solver_assessment
61,0.0237360245313795,0.255046759976275,58.1871957613824,48.9796952467414,1,0,0,revised_continuation,revised_solver_assessment
62,0.0109819384876402,0.132404347024418,43.0960326420055,50.1069234264487,-1,1,1,revised_continuation,revised_solver_assessment
63,0.0216864206202996,0.307567099162573,64.3762542668052,48.5835564763988,-1,1,1,revised_continuation,revised_solver_assessment
64,0.0208978099675173,0.322950975718455,66.1812236007926,48.4574165968437,1,0,0,revised_continuation,revised_solver_assessment
65,0.01,0.4,75.0334513084686,48.8284525174043,-1,1,0,revised_continuation,revised_solver_assessment
66,0.0161381406184774,0.198501883071491,51.2887547457874,49.4616919730876,-1,1,1,revised_continuation,revised_solver_assessment
67,0.0105175627148075,0.33126047024823,67.6107753415626,48.834110896102,1,0,0,revised_continuation,revised_solver_assessment
68,0.0158839730787204,0.142445791366047,44.2769456319058,49.9249455531383,-1,1,1,revised_continuation,revised_solver_assessment
69,0.0177373114189495,0.170210694067584,47.7453303763166,49.7220211513281,1,0,0,revised_continuation,revised_solver_assessment
70,0.0238609434971263,0.267412383417887,59.6146481324048,48.9509155029405,-1,1,1,revised_continuation,revised_solver_assessment
71,0.0211887646304929,0.335741898951087,67.6082580031185,48.5370217456197,-1,1,0,revised_continuation,revised_solver_assessment
