case_id,phase,feasible,final_pareto,failure_mechanism,shell_vm_utilization,cbeam_normal_utilization
78,adaptive_phase,true,true,feasible,0.8319518181818182,0.5619713636363637
79,adaptive_phase,true,false,feasible,0.8344759090909091,0.3237920454545455
80,adaptive_phase,true,true,feasible,0.5129677272727273,0.9895649999999999
81,adaptive_phase,true,false,feasible,0.9871290909090908,0.5693972727272727
82,adaptive_phase,true,true,feasible,0.41575409090909093,0.4454611363636364
83,adaptive_phase,false,false,cbeam_normal_only,0.6858309090909092,1.1873081818181819
84,adaptive_phase,true,false,feasible,0.38965263636363634,0.17263918181818183
85,adaptive_phase,true,true,feasible,0.7891027272727272,0.7309295454545454
86,adaptive_phase,true,true,feasible,0.48906909090909095,0.6032381818181818
87,adaptive_phase,true,false,feasible,0.48682909090909093,0.548225
88,adaptive_phase,true,true,feasible,0.4477147727272727,0.724135
89,adaptive_phase,true,true,feasible,0.5419609090909091,0.7484895454545455
90,adaptive_phase,true,true,feasible,0.8147777272727273,0.7580040909090908
91,adaptive_phase,true,false,feasible,0.530089090909091,0.3096422272727273
92,adaptive_phase,true,false,feasible,0.43266709090909095,0.1830663181818182
93,adaptive_phase,true,true,feasible,0.5552995454545454,0.8705731818181819
94,adaptive_phase,false,false,cbeam_normal_only,0.6256136363636363,1.0976777272727274
95,adaptive_phase,true,false,feasible,0.7536218181818182,0.2836707727272727
96,adaptive_phase,true,true,feasible,0.9372859090909091,0.7086422727272726
97,adaptive_phase,true,true,feasible,0.7848581818181818,0.7888977272727273
98,adaptive_phase,true,false,feasible,0.5299409090909091,0.1667623181818182
99,adaptive_phase,true,true,feasible,0.9564740909090909,0.7940522727272726
100,adaptive_phase,true,true,feasible,0.4163748636363636,0.5311131818181818
