case_id,phase,box_restricted_hypervolume,normalized_hypervolume,feasible,final_pareto,phase_size,phase_feasible_count,phase_final_pareto_count,phase_feasible_share_percent,phase_final_pareto_share_percent,reference_cditrim,reference_ctrim,case30_hypervolume
13,initial_design,0.10508320778573008,0.6550697548245538,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
14,initial_design,0.10508320778573008,0.6550697548245538,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
15,initial_design,0.10508320778573008,0.6550697548245538,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
16,initial_design,0.10508320778573008,0.6550697548245538,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
17,initial_design,0.10508320778573008,0.6550697548245538,true,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
18,initial_design,0.15383557808432652,0.9589832337862633,true,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
19,initial_design,0.15383557808432652,0.9589832337862633,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
20,initial_design,0.15383557808432652,0.9589832337862633,true,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
21,initial_design,0.15383557808432652,0.9589832337862633,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
22,initial_design,0.15383557808432652,0.9589832337862633,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
23,initial_design,0.15383557808432652,0.9589832337862633,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
24,initial_design,0.16041529472517677,1.0,true,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
25,initial_design,0.16041529472517677,1.0,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
26,initial_design,0.16041529472517677,1.0,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
27,initial_design,0.16041529472517677,1.0,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
28,initial_design,0.16041529472517677,1.0,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
29,initial_design,0.16041529472517677,1.0,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
30,initial_design,0.16041529472517677,1.0,false,false,30,10,3,33.333333333333336,10.0,0.013097431856977027,51.654576136822094,0.16041529472517677
31,adaptive_phase,0.17211664725086562,1.0729441201085943,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
32,adaptive_phase,0.17211664725086562,1.0729441201085943,false,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
33,adaptive_phase,0.19497399352893025,1.215432692144221,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
34,adaptive_phase,0.2002547461744432,1.2483519512121293,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
35,adaptive_phase,0.2002547461744432,1.2483519512121293,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
36,adaptive_phase,0.20128806999644416,1.2547935054527724,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
37,adaptive_phase,0.20269442227416712,1.2635604517725252,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
38,adaptive_phase,0.20269442227416712,1.2635604517725252,false,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
39,adaptive_phase,0.2031386830513381,1.2663298932895082,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
40,adaptive_phase,0.2031386830513381,1.2663298932895082,false,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
41,adaptive_phase,0.2057560471475538,1.2826460687558174,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
42,adaptive_phase,0.2057560471475538,1.2826460687558174,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
43,adaptive_phase,0.2057560471475538,1.2826460687558174,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
44,adaptive_phase,0.20641679346555183,1.286765042068992,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
45,adaptive_phase,0.2097430788186663,1.307500504724302,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
46,adaptive_phase,0.21352272977377248,1.3310621667315408,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
47,adaptive_phase,0.21618966965116213,1.3476873886716223,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
48,adaptive_phase,0.2171501950687704,1.3536751307959243,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
49,adaptive_phase,0.2171501950687704,1.3536751307959243,false,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
50,adaptive_phase,0.2171501950687704,1.3536751307959243,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
51,adaptive_phase,0.2171501950687704,1.3536751307959243,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
52,adaptive_phase,0.21717337845211895,1.3538196518242231,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
