input_variable,input_physical,normalized_hvi_threshold,conditional_exceedance_probability,display_log10_exceedance_probability
secondary_member_ratio,0.15,0.000630957344480193,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.000698947320727348,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0007742636826811277,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0008576958985908946,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0009501185073181439,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0010525002852777327,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0011659144011798312,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0012915496650148827,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0014307229891937587,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.001584893192461114,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0017556762912750014,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0019448624389373616,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.002154434690031882,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0023865897868585832,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.002643761185749101,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0029286445646252374,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.00324422607917163,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.003593813663804626,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.003981071705534969,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.004410059454176741,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.004885273571519392,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0054116952654646375,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.005994842503189409,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.006640827850634838,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.007356422544596406,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.008149127469020748,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.009027251779484578,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.01,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.011077568505097087,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.012271252398511892,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.013593563908785269,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.015058363542798416,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.016681005372000592,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.018478497974222907,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.0204696827180752,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15,0.022675431258707995,0.00244140625,-2.612359947967774
secondary_member_ratio,0.15,0.025118864315095822,0.00244140625,-2.612359947967774
secondary_member_ratio,0.15,0.02782559402207126,0.00244140625,-2.612359947967774
secondary_member_ratio,0.15,0.030823992397451434,0.00244140625,-2.612359947967774
secondary_member_ratio,0.15,0.034145488738336005,0.001953125,-2.709269960975831
secondary_member_ratio,0.15,0.03782489906389382,0.00146484375,-2.8342086975841307
secondary_member_ratio,0.15,0.04190079105786665,0.00146484375,-2.8342086975841307
secondary_member_ratio,0.15,0.04641588833612782,0.0009765625,-3.010299956639812
secondary_member_ratio,0.15,0.051417518276839276,0.0009765625,-3.010299956639812
secondary_member_ratio,0.15,0.056958108107376865,0.0009765625,-3.010299956639812
secondary_member_ratio,0.15,0.0630957344480193,0.0009765625,-3.010299956639812
secondary_member_ratio,0.15,0.06989473207273479,0.0009765625,-3.010299956639812
secondary_member_ratio,0.15,0.07742636826811278,0.0009765625,-3.010299956639812
secondary_member_ratio,0.15,0.08576958985908946,0.0009765625,-3.010299956639812
secondary_member_ratio,0.15,0.0950118507318144,0.0009765625,-3.010299956639812
secondary_member_ratio,0.15,0.10525002852777327,0.0009765625,-3.010299956639812
secondary_member_ratio,0.15,0.11659144011798311,0.0009765625,-3.010299956639812
secondary_member_ratio,0.15,0.12915496650148828,0.0009765625,-3.010299956639812
secondary_member_ratio,0.15,0.14307229891937587,0.00048828125,-3.311329952303793
secondary_member_ratio,0.15,0.15848931924611143,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.17556762912750012,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.19448624389373614,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.21544346900318823,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.23865897868585834,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.2643761185749101,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.29286445646252374,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.324422607917163,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.3593813663804626,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.3981071705534969,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.44100594541767413,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.4885273571519392,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.5411695265464638,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.5994842503189409,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.6640827850634838,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.7356422544596406,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.8149127469020749,0.0,-3.311329952303793
secondary_member_ratio,0.15,0.9027251779484579,0.0,-3.311329952303793
secondary_member_ratio,0.15,1.0,0.0,-3.311329952303793
secondary_member_ratio,0.15291666666666667,1e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,1.1077568505097087e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,1.2271252398511891e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,1.359356390878527e-08,0.0029296875,-2.5331787019201495
