case_id,phase,feasible,final_pareto,normalized_ar,normalized_lambda,normalized_r1,normalized_r2
32,adaptive_phase,false,false,0.1155783404379213,0.11608638528766645,8.662806550081241e-05,0.8788762408482093
33,adaptive_phase,true,true,0.5378520193850559,5.274937117674682e-05,0.17824516629939172,8.228330182213917e-06
34,adaptive_phase,true,false,0.4319233504641377,2.6735095576824183e-05,0.44475587645756826,0.7160015985095417
35,adaptive_phase,true,false,0.2955890084691755,8.428137735355666e-06,0.9999999480526948,9.531863028687328e-05
36,adaptive_phase,true,true,0.06120914301133921,5.915664004739935e-05,0.20275020507777394,0.4673348558114972
37,adaptive_phase,true,true,0.11446162651999758,0.0001015671587001332,4.7165041879689996e-05,4.259628652263687e-06
38,adaptive_phase,false,false,0.3484112066718404,8.112852804373348e-05,0.005838693360870755,0.15817607806902517
39,adaptive_phase,true,false,0.00011781005312479682,0.05150798441658212,0.33451374807800177,0.8979503751123588
40,adaptive_phase,false,false,4.947073311208546e-05,0.18383612271441463,0.00399613917820973,9.010144967918394e-05
41,adaptive_phase,true,true,0.2257342373988287,6.9057256650110555e-06,0.18966682744071411,0.46876522432150214
42,adaptive_phase,true,false,0.25505557021961794,3.419624646181877e-05,0.5847404992828426,0.43135402557208913
43,adaptive_phase,true,false,0.07594762562914159,5.6185601992747573e-05,0.8568646056400762,0.7133595268034044
44,adaptive_phase,true,true,7.524799329564995e-05,4.175809189789029e-05,0.1464961368672019,0.6318206189313473
45,adaptive_phase,true,true,0.656930187664886,1.7058797405304173e-05,0.26151758134791475,0.17306253895246673
46,adaptive_phase,true,true,0.3005197203656554,4.665434930495315e-05,0.12443114447884836,1.3848625690648932e-05
47,adaptive_phase,true,true,0.41828611083449196,4.002071078793948e-06,0.07618449459219391,0.9999999918184623
48,adaptive_phase,true,true,0.7068623464015399,3.3533567126801476e-09,0.1326582635315568,0.9999999410929211
49,adaptive_phase,false,false,0.5885910344348021,2.8911176806617475e-05,0.01643680378485749,0.8735869721435459
50,adaptive_phase,true,false,2.6744501401646894e-06,0.27271071193977775,0.5801709472654012,0.3755362698491363
51,adaptive_phase,true,false,0.1111709406692561,0.05447909735818975,0.7414849413314166,1.1540276684183861e-05
52,adaptive_phase,true,true,5.2259249165113415e-06,4.1234953145665346e-05,0.02373003779623358,0.39700994569750125
53,adaptive_phase,true,true,0.7633175549008403,1.5426604422774656e-05,0.24021192122365762,4.416449595716949e-07
54,adaptive_phase,true,true,0.5877508851079579,1.7274035646469562e-05,0.12811693858608922,4.487145201625964e-05
55,adaptive_phase,true,true,0.004919428141125337,8.799756192797343e-06,0.40462522327069783,0.9774488470509981
56,adaptive_phase,true,true,0.33570549370310826,0.00026908752348370196,0.022964428719605193,0.999999989805732
57,adaptive_phase,true,true,0.4683590539287703,5.302735768366225e-05,0.03852479064563715,0.9999999916913824
58,adaptive_phase,true,false,2.25838387145257e-05,0.15666703793453166,0.8016706200696448,0.00010738779898386168
59,adaptive_phase,true,false,0.009428572539778468,0.5703370477319821,0.9999999996968152,0.10634344892669789
60,adaptive_phase,true,false,1.793633275977887e-07,0.23515975979584552,0.9865817264932378,0.9999999916131237
61,adaptive_phase,true,true,0.08087504986862785,6.0598523561143175e-05,0.003146612530286137,0.9738018743669822
62,adaptive_phase,true,true,2.1994625408972013e-05,8.640290397599058e-05,0.6327397658881522,0.4976439701761597
63,adaptive_phase,false,false,0.6590688267984083,8.978342968197586e-05,0.0596519266516208,2.1509413777955266e-05
64,adaptive_phase,true,true,0.24778230690789874,1.6992137256653196e-05,0.030499280200975813,7.14865805897683e-05
65,adaptive_phase,true,true,0.7720025322201337,3.306024564160107e-05,0.09097250847886741,0.9999973831502776
66,adaptive_phase,true,false,0.8103983140122809,0.00025306472315309947,0.29085106515836345,0.20027426483490454
67,adaptive_phase,false,false,0.5502620410100135,6.690176286572312e-07,0.02147287144593523,0.9999999991172772
68,adaptive_phase,true,false,0.4111894451330909,0.3267061892433639,0.5100441979980062,0.07585439957123329
69,adaptive_phase,true,false,3.9541614898830346e-05,0.7814818670331314,0.9684576854049801,9.708206358514739e-05
70,adaptive_phase,false,false,0.8277075122517873,1.5747096769140137e-06,0.229769879765619,0.00010398984522597132
71,adaptive_phase,true,false,2.5654624942935318e-08,0.46823164132285955,0.6418996893123505,0.999999982887311
72,adaptive_phase,true,true,0.3869370489208051,7.907823158006162e-06,0.13611849629109765,9.817410290031376e-05
73,adaptive_phase,false,false,0.8177493345752685,5.8663580362281837e-05,0.0643471437328691,0.9877510985195258
74,adaptive_phase,true,true,2.2119226182522786e-06,2.699728791225967e-05,0.7203304160367302,0.999999904389371
75,adaptive_phase,true,false,8.034519528177242e-05,0.3475372314299608,0.9999969740000734,4.4837705844371e-05
76,adaptive_phase,true,false,0.10125271775344495,7.060819886805143e-05,0.2663235746442843,7.730026548778493e-06
77,adaptive_phase,true,false,2.4374926676469972e-05,5.066514338495734e-05,0.48355230849189385,5.090290360966675e-06
78,adaptive_phase,true,true,0.6690527245527494,0.00022276351013608695,0.20730943527942106,0.1578145930567144
79,adaptive_phase,true,false,0.15750549418139612,0.4509037742252342,0.64554452091527,0.9392017764074102
80,adaptive_phase,true,true,0.20679881097578848,3.481113464556817e-05,5.6627160762057995e-05,0.9468552086355351
81,adaptive_phase,true,false,0.7958547367180134,1.4892252702726943e-05,0.2475835503128255,0.933724900056659
82,adaptive_phase,true,true,0.0826905881486694,3.592426914898287e-05,0.08323529973480295,0.31326169726207637
83,adaptive_phase,false,false,0.43387553133950024,7.018638112911886e-05,0.00011999208475402255,0.907866350221037
84,adaptive_phase,true,false,6.952594739721245e-05,0.10531443711940247,0.7611782895129592,0.7073159351333529
85,adaptive_phase,true,true,0.617948642961253,4.1599392676163374e-05,0.1176434469492538,0.003593095051634489
86,adaptive_phase,true,true,0.18521235702316283,0.0001839834508674439,0.058430206063321034,0.10129310812909108
87,adaptive_phase,true,false,0.12684337372030496,0.10300242805843507,0.15657636518166157,0.1298999688950541
88,adaptive_phase,true,true,0.046330885546870405,0.0001700585758313,0.005697082604722985,0.49703573732532164
89,adaptive_phase,true,true,0.141857817541977,2.8911176806617475e-05,0.01856865097725293,0.3597207796674325
90,adaptive_phase,true,true,0.509459709925029,4.92704170948488e-06,0.1340287282833671,2.967370466519118e-05
91,adaptive_phase,true,false,0.27358580829746293,0.08276982102240703,0.45300850163477224,0.9999999912326499
92,adaptive_phase,true,false,0.00017662158268549888,0.07318975631252082,0.5984441019344158,0.6057950429680785
93,adaptive_phase,true,true,0.30673104011875846,0.00010751756220228613,0.02268613902725821,9.893422971656613e-05
94,adaptive_phase,false,false,0.4207383528852417,0.0069277546636533705,0.010807719128469331,0.9854645108209016
95,adaptive_phase,true,false,9.280170492050506e-05,0.671719877721613,0.9982565777746806,0.8295916192697717
96,adaptive_phase,true,true,0.7298678357415372,1.8465178123761025e-05,0.16472717270104775,0.010833556340923978
97,adaptive_phase,true,true,0.5444217973948735,7.472344838194144e-05,0.09976722062102851,0.000671314695186601
98,adaptive_phase,true,false,1.809223954059765e-06,0.042929078553858344,0.9999999715841152,0.2656386497805862
99,adaptive_phase,true,true,0.812016751373303,0.00011177659653989941,0.15485981881504104,0.2936922831642245
100,adaptive_phase,true,true,0.11011841102729998,2.9312632008754443e-05,0.06169560812803045,0.643536768799663
