case_id,normalized_semispan,lift_per_unit_span_N_per_m,outboard_bending_moment_Nm
4,0.325,2290.24590260683,995.051814253827
4,0.3275,2286.26331447571,985.990124301168
4,0.33,2282.2651581879,976.978213299785
4,0.3325,2278.25141845184,968.015994197578
4,0.335,2274.2220774918,959.103379603144
4,0.3375,2270.17711530539,950.240281785396
4,0.34,2266.11650992028,941.426612673125
4,0.3425,2262.04023764997,932.66228385452
4,0.345,2257.94827334784,923.947206576655
4,0.3475,2253.84059065928,915.281291744941
4,0.35,2249.71716227131,906.664449922552
4,0.3525,2245.57796015929,898.096591329827
4,0.355,2241.4229558303,889.577625843666
4,0.3575,2237.25212056264,881.107462996904
4,0.36,2233.0654256412,872.686011977691
4,0.3625,2228.86284258813,864.31318162886
4,0.365,2224.64434338842,855.988880447313
4,0.3675,2220.40990070999,847.713016583409
4,0.37,2216.15948811796,839.485497840367
4,0.3725,2211.8930802825,831.306231673695
4,0.375,2207.61065318019,823.175125190631
4,0.3775,2203.31218428813,815.092085149629
4,0.38,2198.99765277086,807.057017959863
4,0.3825,2194.66703965934,799.069829680772
4,0.385,2190.32032802195,791.130426021652
4,0.3875,2185.95750312703,783.238712341285
4,0.39,2181.57855259673,775.394593647616
4,0.3925,2177.18346655178,767.597974597487
4,0.395,2172.77223774702,759.84875949642
4,0.3975,2168.34486169735,752.146852298461
4,0.4,2163.90133679386,744.492156606078
4,0.4025,2159.44166440992,736.884575670133
4,0.405,2154.96584899705,729.324012389904
4,0.4075,2150.47389817034,721.810369313188
4,0.41,2145.96582278323,714.343548636466
4,0.4125,2141.44163699159,706.923452205134
4,0.415,2136.90135830682,699.549981513819
4,0.4175,2132.345007638,692.223037706754
4,0.42,2127.77260932292,684.942521578238
4,0.4225,2123.18419114791,677.708333573161
4,0.425,2118.57978435653,670.520373787612
4,0.4275,2113.95942364688,663.378541969562
4,0.43,2109.3231471578,656.282737519613
4,0.4325,2104.67099644375,649.232859491832
4,0.435,2100.00301643853,642.228806594658
4,0.4375,2095.31925540788,635.270477191875
4,0.44,2090.61976489103,628.357769303667
4,0.4425,2085.90459963131,621.49058060774
4,0.445,2081.17381749609,614.66880844051
4,0.4475,2076.42747938588,607.892349798369
4,0.45,2071.66564913322,601.161101339007
4,0.4525,2066.88839339117,594.4749593828
4,0.455,2062.09578151185,587.833819914268
4,0.4575,2057.28788541523,581.237578583577
4,0.46,2052.46477944849,574.686130708112
4,0.4625,2047.6265402361,568.179371274091
4,0.465,2042.77324652113,561.717194938234
4,0.4675,2037.90497899806,555.299496029481
4,0.47,2033.02182013741,548.926168550743
4,0.4725,2028.12385400265,542.597106180704
4,0.475,2023.21116605974,536.312202275647
4,0.4775,2018.28384297983,530.071349871317
4,0.48,2013.34197243545,523.874441684806
4,0.4825,2008.38564289072,517.721370116462
4,0.485,2003.41494338609,511.612027251821
4,0.4875,1998.42996331806,505.546304863537
4,0.49,1993.43079221452,499.524094413332
4,0.4925,1988.41751950602,493.545287053949
4,0.495,1983.39023429384,487.609773631093
4,0.4975,1978.34902511517,481.717444685375
4,0.5,1973.29397970609,475.868190454239
4,0.5025,1968.22518476297,470.061900873871
4,0.505,1963.14272570285,464.298465581089
4,0.5075,1958.04668642344,458.577773915199
4,0.51,1952.93714906338,452.899714919826
4,0.5125,1947.81419376332,447.2641773447
4,0.515,1942.67789842862,441.671049647402
4,0.5175,1937.52833849411,436.120219995057
4,0.52,1932.36558669176,430.611576265982
4,0.5225,1927.18971282175,425.145006051267
4,0.525,1922.00078352773,419.72039665629
4,0.5275,1916.79886207676,414.337635102178
4,0.53,1911.5840081448,408.996608127175
4,0.5325,1906.35627760812,403.697202187947
4,0.535,1901.11572234156,398.439303460796
4,0.5375,1895.86239002402,393.222797842793
4,0.54,1890.59632395197,388.047570952809
4,0.5425,1885.31756286149,382.913508132467
4,0.545,1880.02614075951,377.820494446976
4,0.5475,1874.72208676479,372.76841468588
4,0.55,1869.40542495914,367.757153363685
4,0.5525,1864.07617424966,362.786594720388
4,0.555,1858.73434824218,357.856622721887
4,0.5575,1853.37995512673,352.967121060277
4,0.56,1848.01299757528,348.117973154028
4,0.5625,1842.63347265234,343.309062148045
4,0.565,1837.24137173882,338.540270913601
4,0.5675,1831.83668046946,333.811482048154
4,0.57,1826.41937868432,329.122577875028
4,0.5725,1820.98944039451,324.47344044298
4,0.575,1815.5468337626,319.86395152563
4,0.5775,1810.09152109785,315.293992620772
4,0.58,1804.62345886649,310.763444949548
4,0.5825,1799.14259771725,306.272189455503
4,0.585,1793.64888252229,301.820106803512
4,0.5875,1788.14225243346,297.407077378578
4,0.59,1782.62264095413,293.032981284506
4,0.5925,1777.08997602642,288.697698342456
4,0.595,1771.54418013376,284.401108089377
4,0.5975,1765.98517041882,280.143089776314
4,0.6,1760.41285881638,275.923522366609
4,0.6025,1754.82715220115,271.742284533978
4,0.605,1749.22795255004,267.59925466049
4,0.6075,1743.61515711875,263.494310834428
4,0.61,1737.98865863204,259.427330848052
4,0.6125,1732.34834548741,255.398192195266
4,0.615,1726.69410197152,251.406772069187
4,0.6175,1721.02580848885,247.452947359623
4,0.62,1715.34334180186,243.536594650473
4,0.6225,1709.64657528206,239.657590217042
4,0.625,1703.93537917101,235.815810023283
4,0.6275,1698.20962085062,232.011129718973
4,0.63,1692.46916512165,228.243424636826
4,0.6325,1686.71387448952,224.512569789546
4,0.635,1680.94360945645,220.818439866839
4,0.6375,1675.15822881866,217.160909232369
4,0.64,1669.35758996759,213.53985192069
4,0.6425,1663.54154919385,209.955141634137
4,0.645,1657.70996199264,206.406651739697
4,0.6475,1651.86268336925,202.894255265865
4,0.65,1645.99956814322,199.417824899484
4,0.6525,1640.12047124973,195.977232982588
4,0.655,1634.22524803663,192.572351509239
4,0.6575,1628.3137545556,189.203052122382
4,0.66,1622.38584784571,185.869206110706
4,0.6625,1616.44138620783,182.570684405536
4,0.665,1610.480229468,179.307357577743
4,0.6675,1604.5022392281,176.079095834696
4,0.67,1598.50727910201,172.885769017249
4,0.6725,1592.49521493534,169.727246596765
4,0.675,1586.46591500695,166.603397672205
4,0.6775,1580.41925021021,163.51409096725
4,0.68,1574.3550942123,160.459194827498
4,0.6825,1568.27332358934,157.438577217709
4,0.685,1562.17381793559,154.452105719117
4,0.6875,1556.05645994472,151.499647526813
4,0.69,1549.92113546111,148.581069447186
4,0.6925,1543.7677334993,145.696237895439
4,0.695,1537.59614622959,142.845018893176
4,0.6975,1531.40626892792,140.027278066048
4,0.7,1525.19799988813,137.242880641476
4,0.7025,1518.97124029458,134.49169144644
4,0.705,1512.7258940536,131.77357490532
4,0.7075,1506.46186758165,129.08839503781
4,0.71,1500.17906954877,126.436015456877
4,0.7125,1493.8774105754,123.816299366776
4,0.715,1487.55680288126,121.229109561098
4,0.7175,1481.21715988451,118.674308420866
4,0.72,1474.85839575003,116.151757912643
4,0.7225,1468.48042488532,113.661319586669
4,0.725,1462.08316138297,111.202854574993
4,0.7275,1455.66651840849,108.776223589604
4,0.73,1449.23040753273,106.381286920542
4,0.7325,1442.77473800782,104.01790443397
4,0.735,1436.29941598627,101.6859355702
4,0.7375,1429.80434368246,99.3852393416486
4,0.74,1423.28941847638,97.1156743307085
4,0.7425,1416.75453195928,94.877098687514
4,0.745,1410.19956892145,92.6693701275802
4,0.7475,1403.62440628216,90.4923459292951
4,0.75,1397.02891196221,88.3458829312398
4,0.7525,1390.41294369988,86.2298375293119
4,0.755,1383.7763478108,84.144065673629
4,0.7575,1377.1189578931,82.0884228651824
4,0.76,1370.44059347889,80.0627641522128
4,0.7625,1363.7410586337,78.0669441262828
4,0.765,1357.02014050551,76.1008169180096
4,0.7675,1350.27760782549,74.1642361924307
4,0.77,1343.51320936239,72.2570551439688
4,0.7725,1336.72667233323,70.3791264909618
4,0.775,1329.91770077282,68.5303024697228
4,0.7775,1323.08597386493,66.7104348280966
4,0.78,1316.23114423827,64.9193748184748
4,0.7825,1309.35283623041,63.1569731902315
4,0.785,1302.45064412316,61.4230801815449
4,0.7875,1295.52413035292,59.7175455105633
4,0.79,1288.57282369976,58.0402183658777
4,0.7925,1281.59621745897,56.3909473962624
4,0.795,1274.59376759907,54.7695806996421
4,0.7975,1267.56489091005,53.1759658112469
4,0.8,1260.50896314582,51.6099496909136
4,0.8025,1253.42531716463,50.0713787094945
4,0.805,1246.31324107121,48.5600986343318
4,0.8075,1239.17197636392,47.0759546137564
4,0.81,1232.00071609031,45.6187911605744
4,0.8125,1224.79860301368,44.1884521344963
4,0.815,1217.56472779308,42.7847807234725
4,0.8175,1210.29812717833,41.4076194238946
4,0.82,1202.99778222112,40.056810019622
4,0.8225,1195.66261650209,38.7321935597963
4,0.825,1188.29149437304,37.4336103354049
4,0.8275,1180.88321921181,36.1608998545539
