record_type,Case,AR,TaperRatio,CDitrim,Feasible,Pareto,LLTTrimRequiredCL,TorsionCorrectedE,InterpolatedRigidE,LLTTrimCDiRigid,CDiTorsionDeltaPct,DirectRigidE,OptimumTaperAtSameAR,MaximumEAtSameAR,EfficiencyGap,AbsoluteTaperDistance,TaperOnlyCDiPenaltyPct,RigidSpanEfficiency
observed,34,6.73511043709973,0.644445825533102,0.00958308803931894,1,0,0.44194618170528,0.963249295583404,0.962301401238761,0.00959252765454239,-0.0984059213942845,0.974562224422602,0.364,0.988845306235485,0.0142830818128824,0.280445825533102,1.46558951854969,
observed,35,8.97396023879836,0.287424325474311,0.00714087935521433,1,1,0.442508985217065,0.972654225148748,0.974868752640493,0.00712465801915804,0.227678802444475,0.982003895235349,0.357,0.984157168307675,0.00215327307232605,0.069575674525689,0.219273373840334,
observed,36,9.39332204360386,0.271309002940798,0.00685128821460015,1,0,0.442440448532256,0.968207239470162,0.970298826489911,0.00683651950097606,0.216026789976698,0.979886860215429,0.356,0.983303537597219,0.00341667738179041,0.084690997059202,0.348680803928647,
observed,37,8.34480495872869,0.35179651929685,0.00762014491373295,0,0,0.442432665471552,0.979862358568314,0.982557784558569,0.00759924076237129,0.275082103796009,0.985435333803412,0.359,0.985454594242602,1.92604391892059e-05,0.00720348070314997,0.00195451071507424,
observed,38,9.49044385433887,0.245073327781906,0.00680630560929109,1,1,0.442598342848304,0.965320934682295,0.967052459352721,0.00679411879774538,0.179372953410084,0.976880014650088,0.356,0.983107202786683,0.00622718813659529,0.110926672218094,0.63745680566778,
observed,39,9.57792006398733,0.262213284572663,0.00673382765855486,1,0,0.442439640623145,0.966106454921257,0.968095328621335,0.00671999355324002,0.205864859917537,0.978634802582088,0.356,0.982930766485628,0.0042959639035397,0.093786715427337,0.438975181774137,
observed,40,9.68468182261068,0.242726471278162,0.00667956677742375,1,1,0.442509582301771,0.963522439281919,0.965240122101093,0.00666768022522767,0.17827117969913,0.976139309545416,0.355,0.982715990894851,0.0065766813494349,0.112273528721838,0.673744135199073,
reference,,6,0.2,,,,,,,,,,0.366,,,,1.04911940087054,0.980129225642039
reference,,6,0.201,,,,,,,,,,0.366,,,,1.03355265066796,0.980280239106591
reference,,6,0.202,,,,,,,,,,0.366,,,,1.01815030148598,0.980429703519609
reference,,6,0.203,,,,,,,,,,0.366,,,,1.00291095185772,0.980577631048598
