node_id,x_m,y_m,z_m
34497,0.1225199699,0.5201274753,-0.01824339665
34498,0.1222060844,0.523325324,-0.01815332659
34499,0.1237616464,0.5290487409,-0.01823755354
34500,0.1250304431,0.5219275951,-0.01850126684
34501,0.1248864606,0.5256563425,-0.01842300221
34502,0.1276081204,0.5235587954,-0.018763192
34503,0.1278571039,0.5263831019,-0.01874418184
34504,0.1266322732,0.5285453796,-0.01857188716
34505,0.1280292272,0.5307190418,-0.01869217865
34506,0.1303094774,0.5252527595,-0.01903077215
34507,0.1299709827,0.5286501646,-0.01893923804
34508,0.1201176345,0.5336428881,-0.01773343608
34509,0.1202292889,0.5372720361,-0.01768526062
34510,0.1230132431,0.5321938992,-0.0180990044
34511,0.1226610839,0.535353303,-0.01800452173
34512,0.1229315177,0.5386796594,-0.01798013784
34513,0.125729084,0.5311439633,-0.01842735708
34514,0.1251666099,0.5339415073,-0.01831721887
34515,0.1248315126,0.536673367,-0.01823333278
34516,0.1259905696,0.5396791696,-0.01831579767
34517,0.1276028901,0.5332565308,-0.01860312559
34518,0.1271392107,0.5362024903,-0.0185027197
34519,0.1300769001,0.532145977,-0.01889356971
34520,0.1290124953,0.5385898948,-0.0186719466
34521,0.1296375245,0.5353037715,-0.01879406534
34522,0.1202997789,0.5408765674,-0.01763262227
34523,0.1233400628,0.5452057719,-0.01791862585
34524,0.1217688322,0.5478315353,-0.01768970303
34525,0.123154752,0.5420331359,-0.01795002446
34526,0.1259740442,0.543543756,-0.01824977435
34527,0.1256747395,0.5478132367,-0.01814460382
34528,0.1284420192,0.541749835,-0.01855684258
34529,0.1291993707,0.5490891337,-0.01852023229
34530,0.1301777065,0.5433875918,-0.01872082613
34531,0.1282425821,0.5454836488,-0.01847308502
34532,0.1217724159,0.5564050674,-0.01754510775
34533,0.1239666417,0.5542039275,-0.01784062758
34534,0.1224589124,0.5595884919,-0.01757322065
34535,0.123215355,0.5509180426,-0.01780797914
34536,0.1248076931,0.5572622418,-0.01788733154
34537,0.127016142,0.5550289154,-0.01817800477
34538,0.1265186816,0.5516936779,-0.01817683689
34539,0.1279003173,0.557851851,-0.01823092997
34540,0.1299493909,0.5530084968,-0.01853896119
34541,0.129548341,0.555953145,-0.01844630018
34542,0.1310293823,0.5581085682,-0.01857403107
34543,0.1294047385,0.5603099465,-0.01835867576
34544,0.1211838871,0.562114656,-0.01737830602
34545,0.1205036342,0.5668649673,-0.01721572317
34546,0.1223241836,0.5692489743,-0.01739361882
34547,0.1225607023,0.5646412969,-0.01749995537
34548,0.1242839619,0.5623953938,-0.01774001866
34549,0.1260003149,0.5600816607,-0.01797750033
34550,0.1259482056,0.5649011135,-0.01789105497
34551,0.1241043583,0.5671567321,-0.0176392775
34552,0.1261234432,0.5699594021,-0.01782715134
34553,0.1277837753,0.5626590252,-0.01813813671
34554,0.1272311211,0.5672172308,-0.0179999955
34555,0.1312553584,0.5625633001,-0.0185256619
34556,0.1295624226,0.5653142929,-0.0182940159
34557,0.1294439882,0.5686916113,-0.01822524704
34558,0.1207964942,0.5714033842,-0.0171737615
34559,0.121201992,0.5741428137,-0.01717632078
34560,0.1217713729,0.5772430897,-0.01719170064
34561,0.1225871518,0.5798006654,-0.01724585518
34562,0.1235960349,0.5721128583,-0.01749625429
34563,0.124540031,0.5781484246,-0.0175052546
34564,0.124046579,0.5752006769,-0.0174971763
34565,0.1246928796,0.5808922052,-0.01747699454
34566,0.1266084164,0.5733713508,-0.01782600768
34567,0.1268464923,0.5765329599,-0.0178008005
34568,0.1269567013,0.5793982148,-0.01776543818
34569,0.1292800456,0.5718436241,-0.01815495454
34570,0.1293727904,0.5751143694,-0.01811141334
34571,0.1293774545,0.5780510306,-0.01806344464
34572,0.1224262863,0.5825352073,-0.01718051173
34573,0.1226306558,0.5891516805,-0.01709288731
34574,0.1249375418,0.5832886696,-0.01746539585
34575,0.1238078699,0.5856103897,-0.01729330048
34576,0.1271994859,0.5821775794,-0.01774692908
34577,0.1272462457,0.5848775506,-0.01770727709
34578,0.126566261,0.5876939893,-0.01758206077
34579,0.1291463971,0.5805674791,-0.01799592562
34580,0.1300974339,0.5861943364,-0.01800970547
34581,0.1298011094,0.5892522931,-0.01792585477
34582,0.1225791648,0.5996304154,-0.0169082433
34583,0.1233209968,0.5932822227,-0.0171049647
34584,0.1249482781,0.5968225002,-0.01723914593
34585,0.1262409091,0.5907622576,-0.01749276556
34586,0.1264144927,0.5937054157,-0.01746355556
34587,0.1283363551,0.5953865051,-0.01765777357
34588,0.1281766742,0.5984902978,-0.01758746803
34589,0.1260251403,0.600461781,-0.01730416156
34590,0.1292995811,0.592289567,-0.01781901717
34591,0.130244568,0.5969092846,-0.01784960181
34592,0.1310822517,0.5997086167,-0.01789743081
34593,0.1223257482,0.6042694449,-0.01679831184
34594,0.1240214184,0.6024044156,-0.01703412644
34595,0.1216699034,0.6067145467,-0.01667659916
34596,0.1232071966,0.6112276316,-0.01678633876
34597,0.1245234981,0.6054689884,-0.01704217866
34598,0.1239576563,0.6083971858,-0.01692479849
34599,0.1269675046,0.6038975716,-0.01735696383
34600,0.1270446479,0.6072026491,-0.01731063425
34601,0.1262897998,0.6103067994,-0.01717008278
34602,0.1291763037,0.601983428,-0.01764386333
34603,0.1302406937,0.6059163213,-0.01770011336
34604,0.1293646693,0.6095278859,-0.0175402537
34605,0.1203910038,0.6121251583,-0.01642661542
34606,0.1220880896,0.614117384,-0.01660063304
34607,0.1231388524,0.6191568971,-0.01664253883
34608,0.1239484623,0.6162899733,-0.01678963378
34609,0.1251498461,0.6133075953,-0.0169839412
34610,0.1269754767,0.6156516075,-0.0171602685
34611,0.1260754913,0.6183606386,-0.01700876281
34612,0.1282019764,0.6127071381,-0.01735302061
34613,0.1299073547,0.6151975393,-0.01750805974
34614,0.1288159788,0.6179522276,-0.01733678766
34615,0.1282172501,0.6208568215,-0.0172182247
34616,0.1231077462,0.6221165657,-0.01658825949
34617,0.1236324981,0.624977529,-0.01660312898
34618,0.1219420209,0.6277533173,-0.01634875499
34619,0.125305444,0.6206067204,-0.01687896624
34620,0.1249002144,0.6276007295,-0.01671187021
34621,0.1258270591,0.6228914261,-0.01690250076
34622,0.1260158867,0.6251831651,-0.01688621007
34623,0.1270590424,0.6291808486,-0.01694253087
34624,0.1283256114,0.6237583756,-0.017182298
34625,0.1274806112,0.6265715957,-0.01703619398
34626,0.1290771365,0.6277427077,-0.0172030665
34627,0.1300822645,0.6253038645,-0.01735947095
34628,0.1296251118,0.6297184229,-0.01723338664
34629,0.1209731549,0.6309819817,-0.01617330685
34630,0.1194316819,0.6365484595,-0.01588293724
34631,0.1219493151,0.6336919069,-0.01624760032
34632,0.1227925643,0.6362693906,-0.01630703546
34633,0.1237823963,0.6386440992,-0.01638777182
34634,0.1246337071,0.6411427855,-0.01644849405
34635,0.1242243722,0.6307432652,-0.016576197
34636,0.1249913722,0.6337355375,-0.01661841944
34637,0.1258195043,0.6364665627,-0.01667111367
34638,0.1266998649,0.6391184926,-0.01673155464
34639,0.1273503452,0.6316124201,-0.01693585515
34640,0.1280686706,0.6341840625,-0.0169769898
34641,0.1289032996,0.6369299889,-0.01702853478
34642,0.1312213391,0.6345918178,-0.01733580418
34643,0.1295709312,0.6397426724,-0.01705932617
34644,0.1327910721,0.4827227592,-0.01997594722
34645,0.1328414977,0.485740006,-0.01993302628
34646,0.1325709522,0.4888884425,-0.01985487342
34647,0.1356020868,0.4810692072,-0.02028807253
34648,0.1356103122,0.4843745232,-0.0202367045
34649,0.1350568533,0.4871694147,-0.02013652958
34650,0.135094732,0.4903526902,-0.02008987218
