record_type,solver_id,solver_label,pareto_point_index,retained_evaluations,true_oracle_calls,objective_f1_fabrication_cost,objective_f2_end_deflection
pareto_point,comboo,COMBOO,8,150,150,50.827930048069,0.000580404582857899
pareto_point,comboo,COMBOO,9,150,150,52.4429588087742,0.000542381151022661
pareto_point,comboo,COMBOO,10,150,150,57.4727335050734,0.000442349093583689
pareto_point,comboo,COMBOO,11,150,150,57.9046092897324,0.000439040026536097
pareto_point,comboo,COMBOO,12,150,150,57.9046109375,0.00043904
pareto_point,ppesmoc,PPESMOC,1,150,150,10.3522981039892,0.00396983793953733
pareto_point,ppesmoc,PPESMOC,2,150,150,12.4017086932477,0.00226148416361723
pareto_point,ppesmoc,PPESMOC,3,150,150,22.2033902880277,0.00121659658304004
pareto_point,ppesmoc,PPESMOC,4,150,150,42.6185172075449,0.00061060996649548
pareto_point,ppesmoc,PPESMOC,5,150,150,57.4759291831591,0.000442281766907092
pareto_point,ppesmoc,PPESMOC,6,150,150,333.9095,0.00043904
